member_casual,route,route_frequency
casual,W Oakdale Ave & N Broadway - Halsted St & Roscoe St,1
casual,Wood St & Milwaukee Ave - Spaulding Ave & Division St,1
casual,Damen Ave & Pierce Ave - Wells St & Elm St,1
casual,Wells St & Concord Ln - Stetson Ave & South Water St,1
casual,Harper Ave & 59th St - Dorchester Ave & 63rd St,1
casual,Cornell Ave & Hyde Park Blvd - Dorchester Ave & 63rd St,1
casual,Lake Park Ave & 35th St - McCormick Place,1
casual,Financial Pl & Ida B Wells Dr - McCormick Place,1
casual,Warren Park East - Glenwood Ave & Morse Ave,1
casual,Wilton Ave & Diversey Pkwy - Montrose Harbor,1
casual,Franklin St & Lake St - State St & 19th St,1
casual,Lincoln Ave & Fullerton Ave - California Ave & Fletcher St,1
casual,Sheffield Ave & Wellington Ave - Lakefront Trail & Bryn Mawr Ave,1
casual,Lincoln Park Conservatory - Lakefront Trail & Bryn Mawr Ave,1
casual,Bissell St & Armitage Ave* - Southport Ave & Irving Park Rd,1
casual,Kilbourn Ave & Irving Park Rd - Southport Ave & Irving Park Rd,1
casual,Leavitt St & Belmont Ave - Damen Ave & Melrose Ave,1
casual,Canal St & Madison St - California Ave & Cortez St,1
casual,Baltimore Ave & 87th St - Lake Park Ave & 53rd St,1
casual,Clybourn Ave & Division St - Clinton St & Lake St,1
casual,Canal St & Adams St - Ashland Ave & 13th St,1
casual,Western Ave & Division St - Spaulding Ave & Armitage Ave,1
casual,Lincoln Ave & Waveland Ave - Walsh Park,1
casual,Washtenaw Ave & Lawrence Ave - Sheridan Rd & Irving Park Rd,1
casual,Clark St & Randolph St - Fairbanks St & Superior St,1
casual,Kedzie Ave & Milwaukee Ave - N Green St & W Lake St,1
casual,Franklin St & Adams St (Temp) - N Green St & W Lake St,1
casual,Dearborn St & Adams St - Damen Ave & Chicago Ave,1
casual,Knox Ave & Montrose Ave - Base - 2132 W Hubbard,1
casual,Leavitt St & Chicago Ave - Aberdeen St & Jackson Blvd,1
casual,Ellis Ave & 58th St - Calumet Ave & 51st St,1
casual,Michigan Ave & Pearson St - Kedzie Ave & Milwaukee Ave,1
casual,Franklin St & Lake St - Kedzie Ave & Milwaukee Ave,1
casual,Wacker Dr & Washington St - Clark St & Lincoln Ave,1
casual,Lakefront Trail & Bryn Mawr Ave - Sheffield Ave & Wellington Ave,1
casual,Albany Ave & 26th St - Lawndale Ave & 30th St,1
casual,Cityfront Plaza Dr & Pioneer Ct - Pine Grove Ave & Irving Park Rd,1
casual,St. Clair St & Erie St - Lakeview Ave & Fullerton Pkwy,1
casual,LaSalle St & Washington St - Richmond St & Diversey Ave,1
casual,Orleans St & Hubbard St - Rush St & Hubbard St,1
casual,State St & Kinzie St - California Ave & Milwaukee Ave,1
casual,Broadway & Wilson Ave - Lincoln Ave & Diversey Pkwy,1
casual,Delano Ct & Roosevelt Rd - Morgan St & 18th St,1
casual,Dearborn St & Adams St - Ritchie Ct & Banks St,1
casual,Orleans St & Merchandise Mart Plaza - Michigan Ave & Oak St,1
casual,Ogden Ave & Chicago Ave - Daley Center Plaza,1
casual,Michigan Ave & Washington St - Daley Center Plaza,1
casual,Paulina St & Flournoy St - Winchester Ave & Elston Ave,1
casual,Broadway & Waveland Ave - Winchester Ave & Elston Ave,1
casual,Larrabee St & Webster Ave - Clybourn Ave & Division St,1
casual,Clark St & Schreiber Ave - Francisco Ave & Bloomingdale Ave,1
casual,Stockton Dr & Wrightwood Ave - California Ave & Altgeld St,1
casual,Wentworth Ave & Cermak Rd - Michigan Ave & 8th St,1
casual,Damen Ave & Madison St - Kenton Ave & Madison St,1
casual,Financial Pl & Ida B Wells Dr - Sangamon St & Lake St,1
casual,Ridge Blvd & Touhy Ave - Clark St & Schreiber Ave,1
casual,Southport Ave & Wellington Ave - Campbell Ave & Montrose Ave,1
casual,St. Louis Ave & Fullerton Ave - Ashland Ave & Grand Ave,1
casual,LaSalle St & Adams St - Michigan Ave & Washington St,1
casual,Dorchester Ave & 63rd St - Michigan Ave & Washington St,1
casual,Troy St & North Ave - Columbus Dr & Randolph St,1
casual,Michigan Ave & Jackson Blvd - Michigan Ave & 18th St,1
casual,Racine Ave & Belmont Ave - Clark St & Lake St,1
casual,Manor Ave & Leland Ave - Winthrop Ave & Lawrence Ave,1
casual,Lakeview Ave & Fullerton Pkwy - Wilton Ave & Diversey Pkwy*,1
casual,Larrabee St & Division St - Wilton Ave & Diversey Pkwy,1
casual,Jeffery Blvd & 71st St - MLK Jr Dr & 63rd St,1
casual,California Ave & Division St - Damen Ave & Grand Ave,1
casual,Stetson Ave & South Water St - Sheffield Ave & Willow St,1
casual,Broadway & Waveland Ave - New St & Illinois St,1
casual,Clark St & Columbia Ave - Paulina St & Howard St,1
casual,Sacramento Blvd & Franklin Blvd - California Ave & North Ave,1
casual,Rush St & Cedar St - Larrabee St & Oak St,1
casual,Kingsbury St & Erie St - Clark St & North Ave,1
casual,Dusable Harbor - Broadway & Barry Ave,1
casual,Kingsbury St & Kinzie St - Broadway & Barry Ave,1
casual,California Ave & Byron St - Michigan Ave & Lake St,1
casual,Drake Ave & Montrose Ave - Lincoln Ave & Sunnyside Ave,1
casual,N Carpenter St & W Lake St - Manor Ave & Leland Ave,1
casual,Stetson Ave & South Water St - Wacker Dr & Washington St,1
