member_casual,route,route_frequency
casual,Kilbourn & Roscoe - Public Rack - Laramie Ave & Warwick Ave,1
casual,Glenwood Ave & Morse Ave - Clark St & Leland Ave,1
casual,Sheffield Ave & Fullerton Ave - California Ave & Fletcher St,1
casual,LaSalle Dr & Huron St - Damen Ave & Melrose Ave,1
casual,Orleans St & Elm St - Damen Ave & Melrose Ave,1
casual,Kedzie Ave & Foster Ave - Washtenaw Ave & Lawrence Ave,1
casual,Kimball Ave & Belmont Ave - Leavitt St & Belmont Ave,1
casual,Rush St & Hubbard St - St. Clair St & Erie St,1
casual,Central Park Ave & Ogden Ave - Ashland Ave & 13th St,1
casual,Calumet Ave & 21st St - Ellis Ave & 55th St,1
casual,Seeley Ave & Roscoe St - Greenview Ave & Jarvis Ave,1
casual,Public Rack - Milwaukee Ave & Addison St - Kilpatrick Ave & Grand Ave,1
casual,LaSalle St & Adams St - N Green St & W Lake St,1
casual,Carpenter St & Huron St - N Green St & W Lake St,1
casual,Racine Ave & Randolph St - Wood St & Taylor St (Temp),1
casual,N Green St & W Lake St - Desplaines St & Jackson Blvd,1
casual,Milwaukee Ave & Wabansia Ave - Sedgwick St & Webster Ave,1
casual,Field Blvd & South Water St - Green St & Washington Blvd,1
casual,Rockwell St & Fletcher St - Lincoln Ave & Addison St,1
casual,Milwaukee Ave & Grand Ave - Michigan Ave & Pearson St,1
casual,Ashland Ave & Archer Ave - Western Ave & 21st St,1
casual,Leavitt St & Belmont Ave - Kedzie Ave & Milwaukee Ave,1
casual,Wells St & Concord Ln - Clark St & Drummond Pl,1
casual,Rockwell St & Archer Ave - Harding Ave & 26th St,1
casual,Lincoln Ave & Diversey Pkwy - Western Ave & Walton St,1
casual,Halsted St & 35th St - Wabash Ave & 9th St,1
casual,63rd St Beach - Blackstone Ave & Hyde Park Blvd,1
casual,Greenview Ave & Fullerton Ave - Lakeview Ave & Fullerton Pkwy,1
casual,Western Ave & Roscoe St - Richmond St & Diversey Ave,1
casual,Hale Ave & 107th St - Hale Ave & 107th St,1
casual,Jefferson St & Monroe St - Wells St & Hubbard St,1
casual,Indiana Ave & 26th St - Calumet Ave & 21st St,1
casual,Calumet Ave & 18th St - Morgan St & 18th St,1
casual,Houston Ave & 92nd St - Public Rack - Ewing Ave & 96th St N,1
casual,Campbell Ave & Irving Park Rd - Ravenswood Ave & Irving Park Rd,1
casual,Western Ave & Walton St - Daley Center Plaza,1
casual,Broadway & Barry Ave - Daley Center Plaza,1
casual,Western Ave & Walton St - Larrabee St & Kingsbury St,1
casual,Sheffield Ave & Willow St - Milwaukee Ave & Fullerton Ave,1
casual,Damen Ave & Division St - Western Ave & Fillmore St,1
casual,Winthrop Ave & Lawrence Ave - Clark St & Schreiber Ave,1
casual,Damen Ave & Pierce Ave - Ashland Ave & Grand Ave,1
casual,Damen Ave & Thomas St (Augusta Blvd) - Ashland Ave & Grand Ave,1
casual,Blue Island Ave & 18th St - Michigan Ave & 18th St,1
casual,State St & 95th St - Indiana Ave & 103rd St,1
casual,Cicero Ave & Lake St - Kedzie Ave & Lake St,1
casual,Milwaukee Ave & Rockwell St - Damen Ave & Wabansia Ave,1
casual,Clark St & Chicago Ave - Wells St & Walton St,1
casual,Warren Park West - Clark St & Columbia Ave,1
casual,Ashland Ave & Grand Ave - Throop St & Taylor St,1
casual,Ellis Ave & 58th St - McClurg Ct & Erie St,1
casual,Racine Ave & Randolph St - Western Ave & Congress Pkwy,1
casual,Michigan Ave & Madison St - Ashland Ave & Archer Ave,1
casual,Damen Ave & 59th St - Princeton Ave & Garfield Blvd,1
casual,Paulina St & Montrose Ave - Wacker Dr & Washington St,1
casual,Ashland Ave & Wrightwood Ave - Sheridan Rd & Lawrence Ave,1
casual,Halsted St & 35th St - Wallace St & 35th St,1
casual,W Oakdale Ave & N Broadway - Prairie Ave & Garfield Blvd,1
casual,Lincoln Ave & Fullerton Ave - Ashland Ave & Division St,1
casual,Dayton St & North Ave - Claremont Ave & Hirsch St,1
casual,Sheffield Ave & Fullerton Ave - Troy St & Elston Ave,1
casual,Leavitt St & Chicago Ave - Loomis St & Lexington St,1
casual,Michigan Ave & Jackson Blvd - Franklin St & Monroe St,1
casual,Larrabee St & Division St - Sangamon St & Washington Blvd,1
casual,Milwaukee Ave & Grand Ave - Sangamon St & Washington Blvd,1
casual,Field Blvd & South Water St - Kingsbury St & Kinzie St,1
casual,Milwaukee Ave & Grand Ave - Loomis St & Jackson Blvd,1
casual,Franklin St & Monroe St - Clinton St & Washington Blvd,1
casual,Michigan Ave & Oak St - LaSalle St & Washington St,1
casual,Dearborn St & Van Buren St - LaSalle St & Washington St,1
casual,Sheridan Rd & Argyle St - Honore St & Division St,1
casual,W Armitage Ave & N Sheffield Ave - Honore St & Division St,1
casual,Clark St & Newport St - University Ave & 57th St,1
casual,Michigan Ave & 14th St - University Ave & 57th St,1
casual,May St & Cullerton St - Clark St & Montrose Ave,1
