member_casual,route,route_frequency,avg_ride_length_second
casual,Leavitt St & Archer Ave - St. Clair St & Erie St,1,4193
casual,Michigan Ave & Ida B Wells Dr - Mies van der Rohe Way & Chicago Ave,1,1880
casual,St. Clair St & Erie St - State St & Kinzie St,1,314
casual,Western Ave & Division St - Spaulding Ave & Armitage Ave,1,749
casual,Halsted St & Wrightwood Ave - Desplaines St & Kinzie St,1,1106
casual,Morgan St & Lake St* - Eckhart Park,1,439
casual,Dusable Harbor - Franklin St & Jackson Blvd,1,2866
casual,Washtenaw Ave & Peterson Ave - 2112 W Peterson Ave,1,435
casual,Ellis Ave & 55th St - Emerald Ave & 31st St,1,2253
casual,Sangamon St & Washington Blvd - Wabash Ave & Roosevelt Rd,1,1495
casual,Lakefront Trail & Bryn Mawr Ave - Sheridan Rd & Irving Park Rd,1,1725
casual,Laramie Ave & Madison St - Cicero Ave & Quincy St,1,240
casual,Clark St & Randolph St - Fairbanks St & Superior St,1,611
casual,Kedzie Ave & Milwaukee Ave - N Green St & W Lake St,1,1180
casual,Cottage Grove Ave & 78th St - State St & 79th St,1,578
casual,Dayton St & North Ave - Damen Ave & Chicago Ave,1,638
casual,Dearborn St & Van Buren St - Jefferson St & Monroe St,1,1848
casual,Larrabee St & Menomonee St - Sedgwick St & Webster Ave,1,220
casual,Ashland Ave & Lake St - Base - 2132 W Hubbard,1,583
casual,Pulaski Rd & 51st St - Public Rack - Pulaski Rd & 44th St,1,526
casual,Stockton Dr & Wrightwood Ave - Pulaski Rd & 51st St,1,1198
casual,Larrabee St & Division St - University Library (NU),1,324
casual,Racine Ave & 18th St - Public Rack - Princeton Ave & 43rd St,1,1101
casual,Benson Ave & Church St - Richmond St & Diversey Ave,1,1092
casual,California Ave & Montrose Ave - Lincoln Ave & Diversey Pkwy,1,1516
casual,Ellis Ave & 60th St - Calumet Ave & 21st St,1,1033
casual,Dearborn St & Adams St - Ritchie Ct & Banks St,1,878
casual,Seeley Ave & Roscoe St - Ritchie Ct & Banks St,1,4080
casual,W Oakdale Ave & N Broadway - Michigan Ave & Oak St,1,942
casual,Aberdeen St & Jackson Blvd - Halsted St & 35th St,1,871
casual,Lakeview Ave & Fullerton Pkwy - Ravenswood Ave & Irving Park Rd,1,1186
casual,Michigan Ave & Washington St - Daley Center Plaza,1,637
casual,Orleans St & Chestnut St (NEXT Apts) - Wells St & Institute Pl,1,2674
casual,Federal St & Polk St - Aberdeen St & Randolph St,1,1133
casual,Wentworth Ave & Cermak Rd - Michigan Ave & 8th St,1,5343
casual,Lincoln Ave & Waveland Ave - Michigan Ave & Washington St,1,2104
casual,Kedzie Ave & Leland Ave - Knox Ave & Montrose Ave,1,1520
casual,Broadway & Cornelia Ave - Winthrop Ave & Lawrence Ave,1,974
casual,Halsted St & Clybourn Ave - Winthrop Ave & Lawrence Ave,1,1321
casual,Elmwood Ave & Austin St - Broadway & Granville Ave,1,791
casual,Halsted St & Clybourn Ave - Dearborn Pkwy & Delaware Pl,1,656
casual,Hampden Ct & Diversey Ave - Shedd Aquarium,1,1654
casual,Calumet Ave & 21st St - Delano Ct & Roosevelt Rd,1,1107
casual,Sangamon St & Lake St - Delano Ct & Roosevelt Rd,1,974
casual,Racine Ave & Garfield Blvd - Delano Ct & Roosevelt Rd,1,3428
casual,Theater on the Lake - Southport Ave & Roscoe St,1,1164
casual,LaSalle St & Washington St - Throop St & Taylor St,1,1146
casual,Kingsbury St & Kinzie St - Wood St & Milwaukee Ave,1,705
casual,Dusable Harbor - Broadway & Barry Ave,1,1966
casual,Green St & Madison St - Clark St & Lunt Ave,1,3593
casual,Morgan St & Polk St - Desplaines St & Randolph St,1,620
casual,Stewart Ave & 63rd St - Carpenter St & 63rd St,1,482
casual,Clinton St & Lake St - Orleans St & Merchandise Mart Plaza,1,257
casual,Michigan Ave & Madison St - Noble St & Milwaukee Ave,1,892
casual,Wood St & Milwaukee Ave - Avers Ave & Belmont Ave,1,1755
casual,LaSalle St & Illinois St - Canal St & Taylor St,1,3448
casual,Broadway & Argyle St - Clark St & Columbia Ave,1,1090
casual,Cottage Grove Ave & 71st St - Perry Ave & 69th St,1,550
casual,Calumet Ave & 18th St - Racine Ave & 35th St,1,2454
casual,Rush St & Cedar St - Adler Planetarium,1,2118
casual,Manor Ave & Leland Ave - Lincoln Ave & Winona St,1,609
casual,St. Louis Ave & Fullerton Ave - Leavitt St & North Ave,1,1056
casual,Jeffery Blvd & 67th St - Cornell Ave & Hyde Park Blvd,1,1608
casual,Walsh Park - Kedzie Ave & Chicago Ave,1,1286
casual,Clark St & Berwyn Ave - Larrabee St & Menomonee St,1,210
casual,California Ave & Francis Pl (Temp) - Kosciuszko Park,1,967
casual,Noble St & Milwaukee Ave - Sedgwick St & North Ave,1,787
casual,Damen Ave & Walnut (Lake) St - Clinton St & Washington Blvd,1,1759
casual,Damen Ave & Melrose Ave - Clinton St & Washington Blvd,1,1157
casual,Racine Ave & 13th St - Ogden Ave & Roosevelt Rd,1,634
casual,DuSable Lake Shore Dr & Monroe St - Wolcott Ave & Polk St,1,228
casual,Michigan Ave & Ida B Wells Dr - Honore St & Division St,1,1799
casual,Racine Ave & Wrightwood Ave - Lincoln Ave & Waveland Ave,1,882
casual,Eckhart Park - Stetson Ave & South Water St,1,1389
casual,California Ave & Montrose Ave - Southport Ave & Waveland Ave,1,1119
casual,Wells St & Concord Ln - Southport Ave & Waveland Ave,1,1537
casual,Broadway & Cornelia Ave - Paulina Ave & North Ave,1,1405
casual,Broadway & Sheridan Rd - California Ave & Fletcher St,1,348
casual,Sangamon St & Lake St - Cityfront Plaza Dr & Pioneer Ct,1,676
casual,Damen Ave & Leland Ave - N Paulina St & Lincoln Ave,1,951
casual,Sheridan Rd & Lawrence Ave - Lakefront Trail & Bryn Mawr Ave,1,1067
casual,Western Ave & Granville Ave - Dodge Ave & Mulford St,1,2807
casual,MLK Jr Dr & 29th St - St. Clair St & Erie St,1,1129
casual,Halsted St & 47th Pl - Racine Ave & Garfield Blvd,1,776
casual,Chicago Ave & Sheridan Rd - Ellis Ave & 55th St,1,415
casual,Ashland Ave & Lake St - Artesian Ave & Hubbard St,1,1285
casual,Milwaukee Ave & Fullerton Ave - Kilbourn & Roscoe,1,910
casual,Kedzie Ave & Milwaukee Ave - Eckhart Park,1,1188
casual,Leavitt St & Addison St - Wilton Ave & Belmont Ave,1,536
casual,Elizabeth St & Fulton St - Damen Ave & Chicago Ave,1,718
casual,Ashland Ave & Chicago Ave - Campbell Ave & Fullerton Ave,1,1264
casual,Damen Ave & Division St - Franklin St & Chicago Ave,1,704
casual,Kedzie Ave & Leland Ave - Broadway & Argyle St,1,2757
casual,Broadway & Argyle St - Western Ave & Walton St,1,1979
casual,Franklin St & Monroe St - Clark St & Winnemac Ave,1,259
casual,Southport Ave & Roscoe St - Sheridan Rd & Argyle St,1,348
casual,DuSable Lake Shore Dr & North Blvd - University Library (NU),1,4549
casual,Racine Ave & Congress Pkwy - Lakeview Ave & Fullerton Pkwy,1,509
casual,Broadway & Barry Ave - Bernard St & Elston Ave,1,2324
casual,Wells St & Walton St - Winchester (Ravenswood) Ave & Balmoral Ave,1,322
casual,Ashland Ave & 74th St - Ashland Ave & 50th St,1,1382
casual,Franklin St & Illinois St - Wells St & Institute Pl,1,194
casual,Desplaines St & Jackson Blvd - Public Rack - Kedzie Ave & Archer Ave,1,441
casual,Indiana Ave & 31st St - Kedzie Ave & 57th St,1,258
casual,Western Ave & 24th St - Western Ave & Fillmore St,1,422
casual,State St & 33rd St - Michigan Ave & 8th St,1,1141
casual,Fairbanks St & Superior St - Canal St & Madison St,1,1641
casual,Michigan Ave & 14th St - Wilton Ave & Diversey Pkwy,1,2891
casual,Sedgwick St & Huron St - Dayton St & North Ave,1,568
casual,Clinton St & Jackson Blvd - Western Ave & Division St,1,1295
casual,California Ave & Milwaukee Ave - Southport Ave & Roscoe St,1,1402
casual,Cannon Dr & Fullerton Ave - Rush St & Cedar St,1,399
casual,Ada St & Washington Blvd - Throop St & Taylor St,1,395
casual,Public Rack - Spaulding Ave & North Ave - Leavitt St & Division St,1,362
casual,Troy St & Grace St - Logan Blvd & Elston Ave,1,619
