member_casual,route,route_frequency,avg_ride_length_second
casual,Manor Ave & Leland Ave - California Ave & Fletcher St,1,580
casual,Dearborn St & Van Buren St - Franklin St & Jackson Blvd,1,260
casual,Wells St & Elm St - Wabash Ave & Adams St,1,680
casual,California Ave & Milwaukee Ave - Ashland Ave & Augusta Blvd,1,1112
casual,Michigan Ave & Washington St - Leavitt St & Belmont Ave,1,708
casual,Larrabee St & Division St - Mies van der Rohe Way & Chicago Ave,1,708
casual,Halsted St & Polk St - Clarendon Ave & Junior Ter,1,1860
casual,Kimball Ave & Belmont Ave - Kilpatrick Ave & Parker Ave,1,624
casual,Field Blvd & South Water St - Sheffield Ave & Kingsbury St,1,1294
casual,California Ave & Francis Pl (Temp) - Walsh Park,1,500
casual,Lincoln Ave & Belmont Ave (Temp) - Southport Ave & Clybourn Ave,1,1233
casual,Western Ave & Granville Ave - Benson Ave & Church St,1,1806
casual,California Ave & Fletcher St - Campbell Ave & Fullerton Ave,1,578
casual,Halsted St & Clybourn Ave - Central Park Ave & 24th St,1,991
casual,Leamington Ave & Hirsch St - Laramie Ave & Kinzie St,1,500
casual,Sedgwick St & Webster Ave - Lakeview Ave & Fullerton Pkwy,1,118
casual,Greenview Ave & Fullerton Ave - Lakeview Ave & Fullerton Pkwy,1,438
casual,State St & Randolph St - Lakeview Ave & Fullerton Pkwy,1,2320
casual,Ashland Ave & Wrightwood Ave - Lakeview Ave & Fullerton Pkwy,1,738
casual,Damen Ave & Foster Ave - California Ave & Milwaukee Ave,1,1128
casual,Troy St & Grace St - Kilbourn Ave & Milwaukee Ave,1,571
casual,W Oakdale Ave & N Broadway - Lincoln Ave & Diversey Pkwy,1,501
casual,Financial Pl & Ida B Wells Dr - Calumet Ave & 21st St,1,1231
casual,Halsted St & 35th St - Shields Ave & 28th Pl,1,824
casual,Clinton St & Madison St - Morgan St & 18th St,1,659
casual,Milwaukee Ave & Rockwell St - Central Park Ave & Elbridge Ave,1,402
casual,Broadway & Barry Ave - Daley Center Plaza,1,4257
casual,Ada St & Washington Blvd - Daley Center Plaza,1,790
casual,Broadway & Belmont Ave - Clark St & Berwyn Ave,1,988
casual,Calumet Ave & 33rd St - Woodlawn Ave & Lake Park Ave,1,838
casual,Canal St & Adams St - Orleans St & Elm St,1,572
casual,Clark St & Randolph St - Kedzie Ave & 48th Pl,1,410
casual,Sheffield Ave & Willow St - Milwaukee Ave & Fullerton Ave,1,808
casual,Campbell Ave & Fullerton Ave - Milwaukee Ave & Fullerton Ave,1,179
casual,Elston Ave & Wabansia Ave - California Ave & Altgeld St,1,656
casual,Clark St & Drummond Pl - Sheridan Rd & Montrose Ave,1,1001
casual,Larrabee St & Oak St - Sangamon St & Lake St,1,870
casual,Clinton St & 18th St - Michigan Ave & 18th St,1,329
casual,Avers Ave & Belmont Ave - Public Rack - Menard Ave & Dakin St - midblock,1,756
casual,Wabash Ave & Grand Ave - Racine Ave & Randolph St,1,874
casual,Franklin St & Lake St - Fairbanks Ct & Grand Ave,1,20427
casual,W Armitage Ave & N Sheffield Ave - Dearborn Pkwy & Delaware Pl,1,755
casual,LaSalle St & Washington St - Damen Ave & Cortland St,1,4149
casual,N Carpenter St & W Lake St - Sheffield Ave & Willow St,1,855
casual,DuSable Museum - Stony Island Ave & 71st St,1,1390
casual,Damen Ave & Melrose Ave - Southport Ave & Roscoe St,1,546
casual,Rockwell St & Eastwood Ave - Southport Ave & Roscoe St,1,815
casual,McClurg Ct & Ohio St - Southport Ave & Roscoe St,1,7033
casual,Wabash Ave & Roosevelt Rd - Throop St & Taylor St,1,655
casual,Ellis Ave & 58th St - McClurg Ct & Erie St,1,342
casual,Ravenswood Ave & Irving Park Rd - Wood St & Milwaukee Ave,1,1362
casual,Clark St & 9th St (AMLI) - Clinton St & Madison St,1,732
casual,Wood St & Augusta Blvd - Wacker Dr & Washington St,1,1138
casual,Ashland Ave & 50th St - Throop St & 52nd St,1,3507
casual,Fairbanks St & Superior St - Dearborn St & Monroe St,1,885
casual,Halsted St & Willow St - Clark St & Grace St,1,1033
casual,Desplaines St & Jackson Blvd - Wabash Ave & Wacker Pl,1,698
casual,Michigan Ave & Lake St - Canal St & Jackson Blvd,1,1959
casual,Racine Ave & Washington Blvd - Kingsbury St & Erie St,1,668
casual,Broadway & Granville Ave - Troy St & Grace St,1,1695
casual,W 103rd St & S Avers Ave - Public Rack - Christiana Ave & 111th St,1,540
casual,Ashland Ave & 50th St - Western Blvd & 48th Pl,1,2308
casual,Dearborn St & Adams St - Field Blvd & South Water St,1,512
casual,Benson Ave & Church St - Clinton St & Washington Blvd,1,555
casual,Mies van der Rohe Way & Chestnut St - Clinton St & Washington Blvd,1,703
casual,Sheridan Rd & Argyle St - Honore St & Division St,1,1912
casual,Michigan Ave & 14th St - University Ave & 57th St,1,413
casual,Clark St & Drummond Pl - Humboldt Blvd & Armitage Ave,1,1658
casual,Larrabee St & Webster Ave - Paulina St & Montrose Ave,1,861
casual,Wood St & Taylor St (Temp) - Racine Ave & Congress Pkwy,1,560
casual,Wabash Ave & Roosevelt Rd - Halsted St & Willow St,1,422
casual,Loomis St & Archer Ave - Morgan St & 31st St,1,1026
casual,Glenwood Ave & Morse Ave - Ravenswood Ave & Berteau Ave,1,1177
casual,Franklin St & Jackson Blvd - 900 W Harrison St,1,433
casual,Talman Ave & Addison St - Walsh Park,1,933
casual,Ashland Ave & Lake St - Albany Ave & Bloomingdale Ave,1,1461
casual,LaSalle St & Washington St - Aberdeen St & Jackson Blvd,1,625
casual,Wells St & Huron St - Aberdeen St & Jackson Blvd,1,747
casual,Financial Pl & Ida B Wells Dr - Fort Dearborn Dr & 31st St,1,1119
casual,Sedgwick St & Webster Ave - N Clark St & W Elm St,1,1647
casual,Ashland Ave & Division St - Wells St & Hubbard St,1,657
casual,Franklin St & Adams St (Temp) - Ritchie Ct & Banks St,1,751
casual,Fort Dearborn Dr & 31st St - Halsted St & 35th St,1,945
casual,Wood St & Milwaukee Ave - Clark St & Berwyn Ave,1,1426
casual,DuSable Lake Shore Dr & Belmont Ave - Clinton St & Roosevelt Rd,1,2898
casual,Damen Ave & Cullerton St - LaSalle St & Illinois St,1,2386
casual,Albany Ave & Bloomingdale Ave - Ashland Ave & Lake St,1,1986
casual,Southport Ave & Roscoe St - Ashland Ave & Lake St,1,213
casual,Larrabee St & Armitage Ave - Ashland Ave & Lake St,1,228
casual,Western Ave & Walton St - Ashland Ave & Grand Ave,1,356
casual,Public Rack - Cicero Ave & Wrightwood Ave - California Ave & Division St,1,1090
casual,Franklin St & Monroe St - Fairbanks Ct & Grand Ave,1,1170
casual,Western Ave & Gunnison St - Clark St & Chicago Ave,1,1511
casual,Franklin St & Jackson Blvd - St. Louis Ave & Fullerton Ave,1,2244
casual,Lakeview Ave & Fullerton Pkwy - Southport Ave & Roscoe St,1,1119
casual,Ridge Blvd & Howard St - Central St Metra,1,780
casual,Halsted St & North Branch St - Burling St & Diversey Pkwy,1,922
casual,Daley Center Plaza - Millard Ave & 26th St,1,3073
casual,Lincoln Ave & Diversey Pkwy - Clark St & Bryn Mawr Ave,1,105
casual,Ashland Ave & Division St - Franklin St & Monroe St,1,1166
casual,Broadway & Thorndale Ave - Troy St & Grace St,1,1487
casual,Logan Blvd & Elston Ave - Broadway & Sheridan Rd,1,806
casual,Emerald Ave & 28th St - Ogden Ave & Roosevelt Rd,1,949
casual,Franklin St & Jackson Blvd - Larrabee St & Armitage Ave,1,1423
casual,Western Ave & Grace St - Larrabee St & Division St,1,1197
casual,Christiana Ave & Lawrence Ave - Humboldt Blvd & Armitage Ave,1,1128
casual,Aberdeen St & Randolph St - Public Rack - Woodlawn Ave & 63rd St N,1,330
casual,Carpenter St & Huron St - Orleans St & Chestnut St (NEXT Apts),1,436
casual,Wolcott (Ravenswood) Ave & Montrose Ave - Wells St & Concord Ln,1,1854
casual,Damen Ave & Wellington Ave - Halsted St & Wrightwood Ave,1,976
casual,Blackstone Ave & Hyde Park Blvd - MLK Jr Dr & 47th St,1,905
casual,Public Rack - Woodlawn Ave & 63rd St N - Ellis Ave & 55th St,1,508
casual,Clark St & Armitage Ave - Kilbourn & Roscoe,1,500
casual,Hampden Ct & Diversey Ave - Desplaines St & Kinzie St,1,995
casual,Keystone Ave & Montrose Ave - Kildare Ave & Montrose Ave,1,311
casual,Ravenswood Ave & Irving Park Rd - Kedzie Ave & Milwaukee Ave,1,968
