weeknum,end_station_name,member_casual,count_of_users
26,Canal St & Madison St,casual,242
23,Sheffield Ave & Fullerton Ave,casual,241
25,Southport Ave & Belmont Ave,casual,241
26,Clark St & Wrightwood Ave,casual,241
27,Honore St & Division St,casual,241
19,Sheffield Ave & Waveland Ave,casual,240
23,Clark St & Schiller St,casual,240
26,Sheffield Ave & Waveland Ave,casual,240
22,Southport Ave & Belmont Ave,casual,239
25,Franklin St & Illinois St,casual,239
28,Clark St & Schiller St,casual,239
11,Streeter Dr & Grand Ave,casual,237
23,Burnham Harbor,casual,237
13,Streeter Dr & Grand Ave,casual,236
20,Indiana Ave & Roosevelt Rd,casual,235
28,Clark St & Wrightwood Ave,casual,234
28,Ashland Ave & Division St,casual,234
30,Sheffield Ave & Fullerton Ave,casual,234
15,LaSalle St & Illinois St,casual,233
21,DuSable Lake Shore Dr & Wellington Ave,casual,233
25,Sheffield Ave & Fullerton Ave,casual,233
21,Michigan Ave & Lake St,casual,232
30,Ashland Ave & Division St,casual,232
18,Canal St & Adams St,casual,230
26,Ashland Ave & Division St,casual,230
24,Ashland Ave & Division St,casual,229
30,Wilton Ave & Belmont Ave,casual,229
29,Wilton Ave & Belmont Ave,casual,228
16,DuSable Lake Shore Dr & Monroe St,casual,227
22,Honore St & Division St,casual,227
27,Southport Ave & Belmont Ave,casual,227
18,Ellis Ave & 60th St,casual,226
21,Broadway & Cornelia Ave,casual,225
27,Halsted St & Clybourn Ave,casual,225
29,Sheffield Ave & Fullerton Ave,casual,225
25,Clinton St & Lake St,casual,224
29,Southport Ave & Belmont Ave,casual,224
22,Wabash Ave & Wacker Pl,casual,223
27,Peoria St & Jackson Blvd,casual,223
18,Sheffield Ave & Waveland Ave,casual,222
25,Burnham Harbor,casual,222
29,Larrabee St & Webster Ave,casual,222
14,DuSable Lake Shore Dr & North Blvd,casual,220
21,Columbus Dr & Randolph St,casual,220
23,State St & Kinzie St,casual,219
29,Field Blvd & South Water St,casual,219
31,Streeter Dr & Grand Ave,casual,219
26,Theater on the Lake,casual,218
27,Wilton Ave & Belmont Ave,casual,218
15,Clark St & Elm St,casual,217
20,Michigan Ave & Lake St,casual,217
22,Clark St & Winnemac Ave,casual,217
23,Pine Grove Ave & Waveland Ave,casual,217
25,Broadway & Sheridan Rd,casual,217
27,Fairbanks Ct & Grand Ave,casual,217
20,Lincoln Park Conservatory,casual,216
27,Marine Dr & Ainslie St,casual,216
21,Lincoln Park Conservatory,casual,215
25,Mies van der Rohe Way & Chestnut St,casual,215
21,New St & Illinois St,casual,214
21,Wells St & Huron St,casual,213
22,Millennium Park,casual,213
22,Clinton St & Lake St,casual,213
26,Clark St & Schiller St,casual,213
27,Clark St & Winnemac Ave,casual,213
24,State St & Kinzie St,casual,212
28,Wilton Ave & Belmont Ave,casual,212
28,Sheffield Ave & Fullerton Ave,casual,211
22,Sheffield Ave & Fullerton Ave,casual,210
26,Sheffield Ave & Wrightwood Ave,casual,210
28,Kingsbury St & Kinzie St,casual,210
30,Larrabee St & Division St,casual,209
12,Streeter Dr & Grand Ave,casual,208
23,Clark St & Winnemac Ave,casual,208
24,Wabash Ave & Wacker Pl,casual,207
28,Clarendon Ave & Leland Ave,casual,207
9,Streeter Dr & Grand Ave,casual,206
24,Clinton St & Madison St,casual,206
24,Millennium Park,casual,206
25,Lakefront Trail & Wilson Ave,casual,206
25,McClurg Ct & Erie St,casual,205
25,May St & Taylor St,casual,205
19,Ellis Ave & 60th St,casual,204
30,Kingsbury St & Erie St,casual,204
27,Larrabee St & Webster Ave,casual,203
