hour,end_station_name,member_casual,count_of_users
1,State St & Van Buren St,casual,4
16,Wolcott Ave & Fargo Ave,casual,4
4,McClurg Ct & Ohio St,casual,4
2,Wells St & Walton St,casual,4
3,Desplaines St & Jackson Blvd,casual,4
20,Stony Island Ave & 67th St,casual,4
9,Damen Ave & Charleston St,casual,4
22,State St & 19th St,casual,4
8,Ashland Ave & 13th St,casual,4
17,Public Rack - Monticello Ave & Belmont Ave,casual,4
10,Avers Ave & Belmont Ave,casual,4
5,Wells St & Huron St,casual,4
11,Francisco Ave & Montrose Ave,casual,4
19,Shabbona Park,casual,4
8,Campbell Ave & Augusta Blvd,casual,4
16,Pulaski Rd & Eddy St,casual,4
8,Laflin St & Cullerton St,casual,4
0,Public Rack - Milwaukee Ave & Diversey Ave,casual,4
21,Wilton Ave & Diversey Pkwy*,casual,4
4,Damen Ave & Grand Ave,casual,4
5,Leavitt St & Belmont Ave,casual,4
2,Greenview Ave & Jarvis Ave,casual,4
9,Western Ave & Granville Ave,casual,4
18,Bosworth Ave & Howard St,casual,4
6,California Ave & Montrose Ave,casual,4
12,Public Rack - Hamlin Ave & Fullerton Ave,casual,4
21,Dodge Ave & Main St,casual,4
13,Kedzie Ave & Lake St,casual,4
15,Eggleston Ave & 69th St,casual,4
23,Eggleston Ave & 69th St,casual,4
20,Bosworth Ave & Howard St,casual,4
14,Fairfield Ave & 44th St,casual,4
6,DuSable Museum,casual,4
7,Cottage Grove Ave & 43rd St,casual,4
23,Prairie Ave & Garfield Blvd,casual,4
22,N Damen Ave & W Chicago Ave,casual,4
15,Bosworth Ave & Howard St,casual,4
15,Elston Ave & Wabansia Ave,casual,4
10,Campbell Ave & Augusta Blvd,casual,4
13,MLK Jr Dr & 56th St,casual,4
2,Leavitt St & Lawrence Ave,casual,4
11,Glenwood Ave & Touhy Ave,casual,4
18,Kenton Ave & Madison St,casual,4
16,Campbell Ave & Augusta Blvd,casual,4
17,Damen Ave & 74th St,casual,4
21,Winchester (Ravenswood) Ave & Balmoral Ave,casual,4
17,Museum of Science and Industry,casual,4
3,Ashland Ave & Wrightwood Ave,casual,4
4,Marine Dr & Ainslie St,casual,4
7,Central Park Ave & Bloomingdale Ave,casual,4
2,Aberdeen St & Monroe St,casual,4
3,Wolcott (Ravenswood) Ave & Montrose Ave,casual,4
4,Fairbanks Ct & Grand Ave,casual,4
3,Damen Ave & Wellington Ave,casual,4
13,Public Rack - Kostner Ave & Diversey Ave,casual,4
18,Lavergne & Fullerton,casual,4
7,State St & 95th St,casual,4
22,Elizabeth St & 59th St,casual,4
22,State St & 95th St,casual,4
3,Milwaukee Ave & Grand Ave,casual,4
20,California Ave & 23rd Pl,casual,4
9,California Ave & Altgeld St,casual,4
2,Kedzie Ave & Lake St,casual,4
2,State St & 29th St,casual,4
10,Keystone Ave & Fullerton Ave,casual,4
6,Campbell Ave & Fullerton Ave,casual,4
5,Wabash Ave & 16th St,casual,4
12,Western Ave & 104th St,casual,4
11,Kilbourn & Roscoe,casual,4
14,Kilbourn & Roscoe,casual,4
5,Sedgwick St & Schiller St,casual,4
9,Clark St & 9th St (AMLI),casual,4
1,Central Park Ave & Douglas Blvd,casual,4
0,Leavitt St & Archer Ave,casual,4
14,Milwaukee Ave & Cuyler Ave,casual,4
2,Hermitage Ave & Polk St,casual,4
4,Larrabee St & Webster Ave,casual,4
16,Cottage Grove Ave & 63rd St,casual,4
4,Honore St & Division St,casual,4
8,Ridge Blvd & Howard St,casual,4
23,Canal St & Jackson Blvd,casual,4
8,Kedzie Ave & George St,casual,4
15,Kenosha & Wellington,casual,4
4,Ellis Ave & 53rd St,casual,4
20,Public Rack - Woodlawn Ave & 63rd St N,casual,4
22,Public Rack - Kostner Ave & Armitage Ave,casual,4
2,Southport Ave & Waveland Ave,casual,4
16,Kedzie Ave & 21st St,casual,4
6,Prairie Ave & 43rd St,casual,4
1,Clark St & Lake St,casual,4
0,Albany Ave & Montrose Ave,casual,4
18,Public Rack - Pulaski Rd & Armitage Ave,casual,4
9,Bosworth Ave & Howard St,casual,4
0,Lincoln Ave & Waveland Ave,casual,4
19,Racine Ave & Congress Pkwy,casual,4
5,Artesian Ave & Hubbard St,casual,4
22,Sheffield Ave & Kingsbury St,casual,4
10,Winchester Ave & Elston Ave,casual,4
21,Daley Center Plaza,casual,4
4,Broadway & Cornelia Ave,casual,4
12,Pulaski Rd & 51st St,casual,4
14,Bernard St & Elston Ave,casual,4
20,Halsted St & 35th St,casual,4
13,Racine Ave & Fullerton Ave (Temp),casual,4
13,Conservatory Dr & Lake St,casual,4
17,Princeton Ave & 47th St,casual,4
4,State St & Chicago Ave,casual,4
13,63rd St Beach,casual,4
8,Claremont Ave & Hirsch St,casual,4
18,Malcolm X College,casual,4
21,Spaulding Ave & Division St,casual,4
21,Lincoln Ave & Waveland Ave,casual,4
11,Damen Ave & Melrose Ave,casual,4
20,Halsted St & 78th St,casual,4
5,Sheridan Rd & Lawrence Ave,casual,4
21,Leavitt St & North Ave,casual,4
5,Paulina St & Flournoy St,casual,4
20,Damen Ave & Clybourn Ave,casual,4
10,Walsh Park,casual,4
10,Shields Ave & 31st St,casual,4
11,Elmwood Ave & Austin St,casual,4
14,Public Rack - Kedzie Ave & Archer Ave,casual,4
0,Long & Irving Park,casual,4
5,Clark St & Leland Ave,casual,4
14,Kildare Ave & 26th St,casual,4
20,Chicago State University,casual,4
5,N Paulina St & Lincoln Ave,casual,4
9,Elizabeth St & Randolph St,casual,4
7,California Ave & Cortez St,casual,4
21,Western Ave & Lunt Ave,casual,4
3,Pine Grove Ave & Irving Park Rd,casual,4
11,South Shore Dr & 71st St,casual,4
22,Clark St & Lake St,casual,4
2,Damen Ave & Grand Ave,casual,4
7,Elston Ave & George St,casual,4
0,Western Ave & Berteau Ave,casual,4
23,Ashland Ave & Augusta Blvd,casual,4
0,Spaulding Ave & Armitage Ave,casual,4
2,Campbell Ave & North Ave,casual,4
7,Pulaski Rd & 51st St,casual,4
11,Halsted St & 35th St,casual,4
15,Halsted St & 51st St,casual,4
0,MLK Jr Dr & 29th St,casual,4
0,Milwaukee Ave & Wabansia Ave,casual,4
20,Walsh Park,casual,4
9,Cannon Dr & Fullerton Ave,casual,4
21,Morgan St & Lake St*,casual,4
8,Central Ave & Parker Ave,casual,4
17,Western Blvd & 48th Pl,casual,4
16,Public Rack - Rockwell & Division,casual,4
1,Lake Park Ave & 35th St,casual,4
0,Kedzie Ave & Chicago Ave,casual,4
6,Knox Ave & Montrose Ave,casual,4
20,Cicero Ave & Grace St,casual,4
0,Wallace St & 35th St,casual,4
19,Washtenaw Ave & Polk St,casual,4
9,Damen Ave & Melrose Ave,casual,4
21,Doty Ave & 111th St,casual,4
7,Winchester Ave & Elston Ave,casual,4
12,Monticello Ave & Irving Park Rd,casual,4
8,Prairie Ave & Garfield Blvd,casual,4
11,Public Rack - Milwaukee Ave & Diversey Ave,casual,4
14,Public Rack - Rockwell & Division,casual,4
1,Damen Ave & Melrose Ave,casual,4
3,Sheffield Ave & Kingsbury St,casual,4
15,Doty Ave & 111th St,casual,4
23,Avondale Ave & Irving Park Rd,casual,4
9,Evanston Civic Center,casual,4
2,Chicago Ave & Sheridan Rd,casual,4
1,Central Park Ave & North Ave,casual,4
9,Ashland Ave & Belle Plaine Ave,casual,4
3,Ritchie Ct & Banks St,casual,4
18,Public Rack - Washtenaw Ave & Superior St,casual,4
7,Leavitt St & Chicago Ave,casual,4
14,Union Ave & Root St,casual,4
22,Ravenswood Ave & Irving Park Rd,casual,4
3,Orleans St & Chestnut St (NEXT Apts),casual,4
11,Kosciuszko Park,casual,4
18,63rd St Beach,casual,4
17,63rd St Beach,casual,4
2,Southport Ave & Irving Park Rd,casual,4
6,Ogden Ave & Race Ave,casual,4
10,California Ave & Francis Pl,casual,4
6,Central St Metra,casual,4
5,Stockton Dr & Wrightwood Ave,casual,4
5,Larrabee St & Menomonee St,casual,4
13,Chicago State University,casual,4
0,Cottage Grove Ave & 43rd St,casual,4
14,Loomis St & Archer Ave,casual,4
14,N Clark St & W Elm St,casual,4
22,Kildare Ave & Division St,casual,4
2,Field Museum,casual,4
3,McClurg Ct & Erie St,casual,4
3,Campbell Ave & Montrose Ave,casual,4
18,State St & 95th St,casual,4
3,Lake Park Ave & 56th St,casual,4
1,Wentworth Ave & 33rd St,casual,4
20,Orange & Addison,casual,4
7,La Villita Park (Albany/30th),casual,4
5,DuSable Museum,casual,4
8,California Ave & 23rd Pl,casual,4
6,Paulina St & 18th St,casual,4
0,Paulina St & Montrose Ave,casual,4
16,Central Ave & Chicago Ave,casual,4
11,Western Ave & Gunnison St,casual,4
3,Ellis Ave & 53rd St,casual,4
11,Drake Ave & Montrose Ave,casual,4
23,State St & 29th St,casual,4
5,Morgan St & Polk St,casual,4
21,N Southport Ave & W Newport Ave,casual,4
11,Kedzie Ave & George St,casual,4
18,Avenue O & 134th St,casual,4
5,Kingsbury St & Erie St,casual,4
6,Greenview Ave & Jarvis Ave,casual,4
9,Racine Ave & 15th St,casual,4
20,Hoyne Ave & 47th St,casual,4
1,Clark St & 9th St (AMLI),casual,4
1,Daley Center Plaza,casual,4
13,Troy St & Elston Ave,casual,4
23,Lincoln Ave & Addison St,casual,4
11,Larrabee St & Armitage Ave,casual,4
11,Oakley Ave & Touhy Ave,casual,4
2,Sheridan Rd & Argyle St,casual,4
23,Damen Ave & Madison St,casual,4
20,Wacker Dr & Washington St,casual,4
23,Ashland Ave & Grand Ave,casual,4
10,Albany Ave & Bloomingdale Ave,casual,4
22,Broadway & Granville Ave,casual,4
12,N Sheffield Ave & W Wellington Ave,casual,4
20,Fullerton & Monitor,casual,4
18,Manor Ave & Leland Ave,casual,4
6,Clark St & Lunt Ave,casual,4
1,Dearborn St & Monroe St,casual,4
19,Central Park Ave & 24th St,casual,4
6,Lincoln Ave & Belmont Ave (Temp),casual,4
1,Broadway & Belmont Ave,casual,4
16,Cicero Ave & Lake St,casual,4
22,Ashland Ave & Chicago Ave,casual,4
17,Fullerton & Monitor,casual,4
9,Shields Ave & 31st St,casual,4
6,Sheridan Rd & Loyola Ave,casual,4
21,Prairie Ave & Garfield Blvd,casual,4
7,Fort Dearborn Dr & 31st St,casual,4
12,Western Ave & 111th St,casual,4
17,Kedzie Ave & 52nd St,casual,4
4,DuSable Lake Shore Dr & Wellington Ave,casual,4
21,California Ave & Francis Pl,casual,4
21,Pulaski Rd & Eddy St,casual,4
19,Public Rack - Monticello Ave & Belmont Ave,casual,4
8,Hoyne Ave & Balmoral Ave,casual,4
1,Wood St & Hubbard St,casual,4
9,Loomis St & Archer Ave,casual,4
16,Francisco Ave & Chicago Ave,casual,4
21,Stony Island Ave & South Chicago Ave,casual,4
23,N Damen Ave & W Chicago Ave,casual,4
20,Public Rack - Milwaukee Ave & Higgins Ave,casual,4
0,Francisco Ave & Foster Ave,casual,4
13,Cicero Ave & Lake St,casual,4
5,Lincoln Park Conservatory,casual,4
9,Cottage Grove Ave & 63rd St,casual,4
20,Racine Ave & 35th St,casual,4
9,Leavitt St & Addison St,casual,4
12,Virginia Ave & Catalpa Ave,casual,4
4,Aberdeen St & Randolph St,casual,4
1,Lincoln Ave & Winona St,casual,4
3,LaSalle Dr & Huron St,casual,4
1,Damen Ave & Leland Ave,casual,4
12,Public Rack - Midway Orange Line,casual,4
13,Public Rack - Champlain Ave & 65th St,casual,4
16,Halsted St & 63rd St,casual,4
10,Kilbourn Ave & Irving Park Rd,casual,4
16,Clark St & Jarvis Ave,casual,4
13,Kedzie Ave & Foster Ave,casual,4
7,Central Park Ave & Elbridge Ave,casual,4
10,Kostner Ave & Wrightwood Ave,casual,4
9,Michigan Ave & Jackson Blvd,casual,4
6,Elmwood Ave & Austin St,casual,4
19,Dodge Ave & Church St,casual,4
16,Sacramento Ave & Pershing Rd,casual,4
2,DuSable Lake Shore Dr & Belmont Ave,casual,4
20,Shabbona Park,casual,4
2,Leavitt St & North Ave,casual,4
2,Ravenswood Ave & Irving Park Rd,casual,4
5,Wabash Ave & Wacker Pl,casual,4
21,Canal St & Harrison St,casual,4
4,Ogden Ave & Race Ave,casual,4
16,Meade Ave & Diversey Ave,casual,4
2,Orleans St & Chestnut St (NEXT Apts),casual,4
0,Winchester (Ravenswood) Ave & Balmoral Ave,casual,4
17,Fairfield Ave & 44th St,casual,4
2,Cityfront Plaza Dr & Pioneer Ct,casual,4
15,Narragansett Ave & School St,casual,4
8,N Clark St & W Elm St,casual,4
5,Lincoln Ave & Roscoe St*,casual,4
0,Central Ave & Parker Ave,casual,4
23,Cicero Ave & Lake St,casual,4
1,Southport Ave & Roscoe St,casual,4
7,Central St Metra,casual,4
14,Shields Ave & 31st St,casual,4
20,Western Ave & 111th St,casual,4
5,Fort Dearborn Dr & 31st St,casual,4
23,Halsted St & 35th St,casual,4
6,Sheridan Rd & Buena Ave,casual,4
7,Nordica & Medill,casual,4
16,Lincoln Ave & Peterson Ave,casual,4
3,Calumet Ave & 33rd St,casual,4
0,Western Ave & Congress Pkwy,casual,4
5,Aberdeen St & Monroe St,casual,4
13,W 103rd St & S Avers Ave,casual,4
19,Claremont Ave & Hirsch St,casual,4
14,Kedzie Ave & 52nd St,casual,4
7,Indiana Ave & 31st St,casual,4
20,Lincoln Ave & Balmoral Ave,casual,3
19,Princeton Ave & 47th St,casual,3
3,Michigan Ave & Madison St,casual,3
23,Cottage Grove Ave & 47th St,casual,3
15,Eberhart Ave & 131st St,casual,3
10,N Southport Ave & W Newport Ave,casual,3
14,Clark St & Columbia Ave,casual,3
19,Millard Ave & 26th St,casual,3
21,Lincoln Ave & Balmoral Ave,casual,3
7,Francisco Ave & Montrose Ave,casual,3
2,Damen Ave & 59th St,casual,3
19,Public Rack - Hamilton Ave & 95th St,casual,3
21,Lavergne Ave & 46th St,casual,3
13,Ashland Ave & Archer Ave,casual,3
12,Claremont Ave & Hirsch St,casual,3
12,Spaulding Ave & Division St,casual,3
22,Glenwood Ave & Morse Ave,casual,3
18,California Ave & 21st St,casual,3
3,Lincoln Ave & Diversey Pkwy,casual,3
1,Ashland Ave & Belle Plaine Ave,casual,3
17,Vernon Ave & 107th St,casual,3
10,Clark St & Touhy Ave,casual,3
0,N Sheffield Ave & W Wellington Ave,casual,3
21,Western Ave & 21st St,casual,3
7,Troy St & Jackson Blvd,casual,3
4,Greenwood Ave & 47th St,casual,3
11,Wood St & 35th St,casual,3
11,California Ave & Francis Pl (Temp),casual,3
13,Sayre & Diversey,casual,3
10,Western Ave & 111th St,casual,3
13,Stony Island Ave & 67th St,casual,3
14,Bloomingdale Ave & Harlem Ave,casual,3
8,Elmwood Ave & Austin St,casual,3
22,Claremont Ave & Hirsch St,casual,3
12,Morgan St & 18th St,casual,3
20,Sawyer Ave & Irving Park Rd,casual,3
16,Kedzie Ave & Foster Ave,casual,3
0,Noble St & Milwaukee Ave,casual,3
19,Public Rack - Pulaski Rd & Armitage Ave,casual,3
11,Albany Ave & Belmont Ave,casual,3
16,Public Rack - Spaulding Ave & North Ave,casual,3
18,Major Taylor Trail & 115th St,casual,3
8,Dorchester Ave & 63rd St,casual,3
9,California Ave & Fletcher St,casual,3
8,Lakefront Trail & Bryn Mawr Ave,casual,3
13,Western Ave & 24th St,casual,3
8,Elston Ave & Henderson St,casual,3
6,Clark St & Lake St,casual,3
13,Prairie Ave & 43rd St,casual,3
23,Manor Ave & Leland Ave,casual,3
15,Orange & Addison,casual,3
0,Orange & Addison,casual,3
12,Sayre & Diversey,casual,3
8,Homan Ave & 65th St,casual,3
19,Budlong Woods Library,casual,3
23,Glenwood Ave & Morse Ave,casual,3
5,Clarendon Ave & Leland Ave,casual,3
23,Ravenswood Ave & Irving Park Rd,casual,3
15,Public Rack - California Ave & Cortez St,casual,3
9,Cottage Grove Ave & 43rd St,casual,3
12,Clark St & Lunt Ave,casual,3
7,Racine Ave & 13th St,casual,3
22,Racine Ave & 35th St,casual,3
6,Larrabee St & Menomonee St,casual,3
14,Commercial Ave & 130th St,casual,3
13,Calumet Ave & 51st St,casual,3
13,Major Taylor Trail & 115th St,casual,3
8,Public Rack - Woodlawn Ave & 63rd St N,casual,3
10,Dorchester Ave & 63rd St,casual,3
7,MLK Jr Dr & 29th St,casual,3
9,Wabash Ave & Cermak Rd,casual,3
3,Halsted St & Roosevelt Rd,casual,3
9,Walsh Park,casual,3
12,Kildare Ave & Montrose Ave,casual,3
14,Western Ave & 21st St,casual,3
3,Public Rack - Hamlin Ave & Montrose Ave,casual,3
11,Lawndale Ave & 30th St,casual,3
14,Public Rack - Lawndale Ave & Diversey Ave,casual,3
0,California Ave & Altgeld St,casual,3
12,Cherry Ave & Blackhawk St,casual,3
2,Wilton Ave & Diversey Pkwy,casual,3
3,Central Park Ave & North Ave,casual,3
7,Kildare Ave & 26th St,casual,3
19,Normal Ave & Archer Ave,casual,3
13,MLK Jr Dr & 83rd St,casual,3
3,DuSable Lake Shore Dr & Belmont Ave,casual,3
1,Stetson Ave & South Water St,casual,3
16,Hegewisch Metra Station,casual,3
15,Central Park Ave & Ogden Ave,casual,3
19,Kildare Ave & Montrose Ave,casual,3
19,Western Ave & 21st St,casual,3
15,Public Rack - Milwaukee Ave & Haussen Ct,casual,3
20,Western Ave & Howard St,casual,3
10,Kedzie Ave & Leland Ave,casual,3
5,Damen Ave & Sunnyside Ave,casual,3
15,Cicero Ave & Lake St,casual,3
8,California Ave & Francis Pl (Temp),casual,3
12,California Ave & Francis Pl (Temp),casual,3
15,Kedzie Ave & 21st St,casual,3
7,Noble St & Milwaukee Ave,casual,3
17,Kenosha & Wellington,casual,3
0,California Ave & 23rd Pl,casual,3
8,Western Blvd & 48th Pl,casual,3
16,Western Ave & Grace St,casual,3
3,Lawndale Ave & 111th St,casual,3
21,St. Clair St & Erie St,casual,3
1,Spaulding Ave & Armitage Ave,casual,3
3,900 W Harrison St,casual,3
19,Maplewood Ave & Peterson Ave,casual,3
18,Seeley Ave & Garfield Blvd,casual,3
18,Elston Ave & Henderson St,casual,3
4,Wells St & Huron St,casual,3
7,Fullerton & Monitor,casual,3
0,Broadway & Granville Ave,casual,3
3,Halsted St & 18th St,casual,3
8,Halsted St & North Branch St,casual,3
15,Public Rack - Cicero Ave & Wrightwood Ave,casual,3
16,Ashland Ave & Archer Ave,casual,3
10,W Oakdale Ave & N Broadway,casual,3
14,California Ave & Lake St,casual,3
11,Lincoln Ave & Peterson Ave,casual,3
16,Washtenaw Ave & Polk St,casual,3
16,Washtenaw Ave & Ogden Ave,casual,3
10,Long & Irving Park,casual,3
20,Public Rack - Kenton Ave & Palmer St,casual,3
1,Kilbourn & Belden,casual,3
6,Michigan Ave & Jackson Blvd,casual,3
10,Canal St & Harrison St,casual,3
19,Manor Ave & Leland Ave,casual,3
4,Kimbark Ave & 53rd St,casual,3
4,St Louis Ave & 59th St,casual,3
6,Wells St & Elm St,casual,3
15,Archer (Damen) Ave & 37th St,casual,3
4,Ashland Ave & Chicago Ave,casual,3
18,Public Rack - Rockwell & Division,casual,3
15,Chicago State University,casual,3
1,California Ave & 21st St,casual,3
11,Public Rack - Harold Washington Park,casual,3
11,Western Ave & 21st St,casual,3
23,Franklin St & Chicago Ave,casual,3
15,Kenton Ave & Madison St,casual,3
7,Prairie Ave & 43rd St,casual,3
19,Cottage Grove Ave & 67th St,casual,3
8,Kostner Ave & Adams St,casual,3
22,Greenwood Ave & 97th St,casual,3
9,Ravenswood Ave & Berteau Ave,casual,3
22,Fort Dearborn Dr & 31st St,casual,3
10,Fort Dearborn Dr & 31st St,casual,3
4,Maplewood Ave & Peterson Ave,casual,3
4,Rush St & Hubbard St,casual,3
2,Ogden Ave & Chicago Ave,casual,3
15,Rainbow Beach,casual,3
4,Monticello Ave & Irving Park Rd,casual,3
21,Wallace St & 35th St,casual,3
13,Ashland Ave & 78th St,casual,3
3,Spaulding Ave & 63rd St,casual,3
20,Damen Ave & Walnut (Lake) St,casual,3
15,Lincolnwood Dr & Central St,casual,3
19,Wolcott Ave & Fargo Ave,casual,3
19,Commercial Ave & 130th St,casual,3
17,Monticello Ave & Chicago Ave,casual,3
17,Kilbourn Ave & Milwaukee Ave,casual,3
9,Clark St & Jarvis Ave,casual,3
14,Elmwood Ave & Austin St,casual,3
3,Clinton St & Roosevelt Rd,casual,3
17,Public Rack - Washtenaw Ave & Devon Ave,casual,3
15,Kedzie Ave & 52nd St,casual,3
11,N Shore Channel Trail & Argyle St,casual,3
7,Wilton Ave & Diversey Pkwy*,casual,3
21,Wentworth Ave & Cermak Rd*,casual,3
23,Lincoln Ave & Byron St,casual,3
11,Stony Island Ave & 64th St,casual,3
13,Kedzie Ave & 21st St,casual,3
21,Wentworth Ave & 24th St,casual,3
5,Ravenswood Ave & Lawrence Ave,casual,3
3,California Ave & Montrose Ave,casual,3
2,Damen Ave & Clybourn Ave,casual,3
5,Ashland Ave & 13th St,casual,3
7,Loomis St & Archer Ave,casual,3
22,Wentworth Ave & Cermak Rd*,casual,3
3,Eggleston Ave & 69th St,casual,3
14,Lincoln Ave & Byron St,casual,3
9,Sacramento Blvd & Franklin Blvd,casual,3
20,Dodge Ave & Main St,casual,3
11,Cicero Ave & Lake St,casual,3
1,Ogden Ave & Race Ave,casual,3
9,Greenwood Ave & 97th St,casual,3
7,Hoyne Ave & 47th St,casual,3
14,Halsted St & 63rd St,casual,3
12,Smith Park,casual,3
13,Wentworth Ave & 24th St,casual,3
1,Lincoln Ave & Fullerton Ave,casual,3
21,Kilpatrick Ave & Parker Ave,casual,3
18,Cicero Ave & Flournoy St,casual,3
14,Halsted St & 35th St,casual,3
11,Monticello Ave & Irving Park Rd,casual,3
22,Monticello Ave & Irving Park Rd,casual,3
20,Central St Metra,casual,3
11,Avers Ave & Belmont Ave,casual,3
19,Sacramento Blvd & Franklin Blvd,casual,3
15,Kildare Ave & 26th St,casual,3
19,Western Blvd & 48th Pl,casual,3
13,Western Ave & Ardmore Ave,casual,3
7,State St & 33rd St,casual,3
22,Pulaski Rd & Eddy St,casual,3
18,MTV Hubbard St,casual,3
0,N Shore Channel Trail & Argyle St,casual,3
23,Francisco Ave & Chicago Ave,casual,3
19,South Shore Dr & 74th St,casual,3
22,Central Ave & Roscoe St,casual,3
2,Rush St & Cedar St,casual,3
5,Blue Island Ave & 18th St,casual,3
5,Lincoln Ave & Belmont Ave (Temp),casual,3
7,Leavitt St & Lawrence Ave,casual,3
10,Stony Island Ave & 67th St,casual,3
22,Vernon Ave & 75th St,casual,3
10,Sawyer Ave & Irving Park Rd,casual,3
17,Sacramento Blvd & Franklin Blvd,casual,3
0,Clark St & Touhy Ave,casual,3
6,California Ave & Francis Pl,casual,3
14,63rd St Beach,casual,3
10,Cottage Grove Ave & 47th St,casual,3
17,Stony Island Ave & 67th St,casual,3
2,Sheridan Rd & Loyola Ave,casual,3
0,Rockwell St & Archer Ave,casual,3
3,Halsted St & Willow St,casual,3
8,May St & Cullerton St,casual,3
13,Oak Park & Wellington,casual,3
5,Stetson Ave & South Water St,casual,3
10,Francisco Ave & Montrose Ave,casual,3
19,Public Rack - Washtenaw Ave & Superior St,casual,3
5,MLK Jr Dr & Pershing Rd,casual,3
9,Francisco Ave & Montrose Ave,casual,3
20,Kedzie Ave & 24th St,casual,3
4,Racine Ave & 18th St,casual,3
2,Kimbark Ave & 53rd St,casual,3
22,California Ave & Francis Pl,casual,3
12,Kostner Ave & Wrightwood Ave,casual,3
16,Halsted St & 78th St,casual,3
1,Chicago Ave & Washington St,casual,3
17,MLK Jr Dr & 47th St,casual,3
4,Ashland Ave & Grace St,casual,3
13,Public Rack - Lawndale Ave & 23rd St,casual,3
15,Halsted St & 111th St,casual,3
1,Public Rack - Hamlin Ave & Montrose Ave,casual,3
5,Campbell Ave & Montrose Ave,casual,3
10,Indiana Ave & 40th St,casual,3
10,Central Park Ave & North Ave,casual,3
10,Kostner Ave & Adams St,casual,3
17,Campbell Ave & Augusta Blvd,casual,3
6,Orleans St & Chestnut St (NEXT Apts),casual,3
21,Hoyne Ave & Balmoral Ave,casual,3
18,Public Rack - Kimball Ave & Lawrence Ave,casual,3
1,Burnham Greenway & 112th St,casual,3
15,Kilpatrick Ave & Grand Ave,casual,3
4,Rush St & Cedar St,casual,3
7,Keystone Ave & Montrose Ave,casual,3
18,Greenwood Ave & 97th St,casual,3
1,Calumet Ave & 33rd St,casual,3
5,California Ave & Montrose Ave,casual,3
5,Orleans St & Hubbard St,casual,3
17,Public Rack - Milwaukee Ave & School St,casual,3
23,Winchester (Ravenswood) Ave & Balmoral Ave,casual,3
9,Campbell Ave & Augusta Blvd,casual,3
3,Cornell Ave & Hyde Park Blvd,casual,3
2,Burnham Harbor,casual,3
5,Glenwood Ave & Touhy Ave,casual,3
21,Campbell Ave & Augusta Blvd,casual,3
5,Ogden Ave & Roosevelt Rd,casual,3
22,Elston Ave & Wabansia Ave,casual,3
16,Fairfield Ave & 44th St,casual,3
16,Vernon Ave & 75th St,casual,3
8,Homan Ave & Fillmore St,casual,3
23,California Ave & 23rd Pl,casual,3
5,Wood St & Augusta Blvd,casual,3
8,Western Ave & 24th St,casual,3
18,Halsted St & 63rd St,casual,3
1,Ogden Ave & Roosevelt Rd,casual,3
10,Ridge Blvd & Howard St,casual,3
12,Burnham Greenway & 105th St,casual,3
3,Rhodes Ave & 32nd St,casual,3
18,N Carpenter St & W Lake St,casual,3
19,Vernon Ave & 107th St,casual,3
13,Greenwood Ave & 97th St,casual,3
3,Paulina St & 18th St,casual,3
4,Loomis St & Jackson Blvd,casual,3
13,Public Rack - Woodlawn Ave & 63rd St N,casual,3
5,Hermitage Ave & Polk St,casual,3
1,N Southport Ave & W Newport Ave,casual,3
2,Loomis St & Jackson Blvd,casual,3
12,State St & 29th St,casual,3
1,Cottage Grove Ave & 51st St,casual,3
5,Milwaukee Ave & Grand Ave,casual,3
2,University Library (NU),casual,3
21,Kedzie Ave & George St,casual,3
23,Halsted St & Archer Ave,casual,3
21,State St & 95th St,casual,3
16,Western Ave & Gunnison St,casual,3
5,Franklin St & Lake St,casual,3
22,Drake Ave & Montrose Ave,casual,3
22,State St & 29th St,casual,3
12,Albany Ave & Belmont Ave,casual,3
12,Albany Ave & 26th St,casual,3
17,Burnham Greenway & 105th St,casual,3
8,Kilbourn & Roscoe,casual,3
4,Sheridan Rd & Greenleaf Ave,casual,3
2,Western Ave & Congress Pkwy,casual,3
6,Drake Ave & Addison St,casual,3
21,Keystone Ave & Fullerton Ave,casual,3
21,Drake Ave & Addison St,casual,3
19,Ashland Ave & 50th St,casual,3
0,McCormick Place,casual,3
21,State St & 29th St,casual,3
8,Ashland Ave & 50th St,casual,3
2,Harlem & Irving Park,casual,3
5,Michigan Ave & 8th St,casual,3
4,Clark St & Lincoln Ave,casual,3
6,Central Park Ave & Elbridge Ave,casual,3
0,Artesian Ave & Hubbard St,casual,3
22,California Ave & Byron St,casual,3
18,Cicero Ave & Lake St,casual,3
11,Eggleston Ave & 69th St,casual,3
20,Public Rack - Spaulding Ave & Evergreen Ave,casual,3
15,Richmond St & 59th St,casual,3
0,University Library (NU),casual,3
10,N Damen Ave & W Chicago Ave,casual,3
7,Racine Ave & 15th St,casual,3
4,Southport Ave & Irving Park Rd,casual,3
21,Stony Island Ave & 63rd St,casual,3
6,Racine Ave & Randolph St,casual,3
20,Oakley Ave & Touhy Ave,casual,3
17,Chicago State University,casual,3
1,Walsh Park,casual,3
16,Lamon Ave & Armitage Ave,casual,3
21,Evanston Civic Center,casual,3
0,Dearborn St & Monroe St,casual,3
15,Calumet Ave & 35th St,casual,3
17,Public Rack - Lawndale Ave & Diversey Ave,casual,3
6,Wabash Ave & 9th St,casual,3
21,Morgan St & 18th St,casual,3
12,Torrence Ave & 106th St,casual,3
