hour,end_station_name,member_casual,count_of_users
19,Millennium Park,casual,216
18,Honore St & Division St,casual,215
20,Shedd Aquarium,casual,214
17,Mies van der Rohe Way & Chestnut St,casual,212
17,Kingsbury St & Erie St,casual,211
17,Kingsbury St & Kinzie St,casual,210
16,Honore St & Division St,casual,210
17,California Ave & Milwaukee Ave,casual,210
13,Lincoln Park Conservatory,casual,210
18,Green St & Madison St,casual,209
11,Clark St & Wrightwood Ave,casual,208
15,Halsted St & Clybourn Ave,casual,206
15,Sheffield Ave & Fullerton Ave,casual,206
14,Theater on the Lake,casual,206
16,Rush St & Superior St,casual,203
18,Pine Grove Ave & Waveland Ave,casual,203
14,Sheffield Ave & Fullerton Ave,casual,203
17,Damen Ave & Pierce Ave,casual,203
20,Broadway & Cornelia Ave,casual,203
15,Canal St & Madison St,casual,202
16,Federal St & Polk St,casual,202
16,Canal St & Adams St,casual,201
15,State St & Chicago Ave,casual,201
16,Wabash Ave & Wacker Pl,casual,201
18,Theater on the Lake,casual,200
4,,casual,199
19,Green St & Madison St,casual,199
18,California Ave & Milwaukee Ave,casual,198
18,May St & Taylor St,casual,197
13,Sheffield Ave & Wrightwood Ave,casual,197
14,Michigan Ave & Lake St,casual,195
18,State St & Chicago Ave,casual,194
16,Clinton St & Lake St,casual,194
14,Clark St & Schiller St,casual,193
17,May St & Taylor St,casual,193
18,Clark St & Elm St,casual,192
14,Sheffield Ave & Wrightwood Ave,casual,192
17,Wabash Ave & Wacker Pl,casual,192
19,Broadway & Cornelia Ave,casual,192
14,Ashland Ave & Division St,casual,191
20,DuSable Lake Shore Dr & Diversey Pkwy,casual,191
17,Dayton St & North Ave,casual,191
16,Lincoln Park Conservatory,casual,191
19,Sheffield Ave & Fullerton Ave,casual,190
19,Clark St & Winnemac Ave,casual,190
20,Clark St & Schiller St,casual,190
16,Clark St & Winnemac Ave,casual,188
14,Clark St & Winnemac Ave,casual,188
13,Theater on the Lake,casual,188
14,Sheffield Ave & Waveland Ave,casual,187
17,Clarendon Ave & Gordon Ter,casual,187
18,Canal St & Madison St,casual,187
8,Michigan Ave & Lake St,casual,187
18,Damen Ave & Pierce Ave,casual,186
19,Theater on the Lake,casual,186
18,Kingsbury St & Kinzie St,casual,185
16,Green St & Madison St,casual,185
17,Pine Grove Ave & Waveland Ave,casual,184
8,LaSalle St & Illinois St,casual,183
15,Clark St & Winnemac Ave,casual,183
3,,casual,182
11,Wells St & Concord Ln,casual,182
18,Southport Ave & Belmont Ave,casual,182
16,State St & Kinzie St,casual,182
12,Lincoln Park Conservatory,casual,182
15,Sheffield Ave & Wrightwood Ave,casual,181
18,Federal St & Polk St,casual,181
17,Canal St & Adams St,casual,180
16,Indiana Ave & Roosevelt Rd,casual,180
20,Wells St & Concord Ln,casual,179
13,Sheffield Ave & Fullerton Ave,casual,179
13,LaSalle St & Illinois St,casual,179
19,Honore St & Division St,casual,179
17,Indiana Ave & Roosevelt Rd,casual,178
21,DuSable Lake Shore Dr & North Blvd,casual,178
15,Clinton St & Lake St,casual,177
14,Field Museum,casual,177
17,Lakefront Trail & Wilson Ave,casual,177
18,State St & Kinzie St,casual,177
16,California Ave & Milwaukee Ave,casual,176
17,State St & Kinzie St,casual,176
18,Larrabee St & Webster Ave,casual,176
15,Green St & Madison St,casual,176
16,Wells St & Evergreen Ave,casual,175
14,LaSalle St & Illinois St,casual,174
17,Clark St & Lincoln Ave,casual,174
18,Ellis Ave & 60th St,casual,173
17,Wells St & Evergreen Ave,casual,173
17,Clinton St & Madison St,casual,173
13,Clark St & Schiller St,casual,173
15,Broadway & Cornelia Ave,casual,172
7,Michigan Ave & Lake St,casual,172
18,Lakefront Trail & Wilson Ave,casual,172
11,Ashland Ave & Division St,casual,172
12,Michigan Ave & Lake St,casual,171
17,Southport Ave & Belmont Ave,casual,171
0,Streeter Dr & Grand Ave,casual,171
18,Clarendon Ave & Gordon Ter,casual,170
8,Canal St & Madison St,casual,170
15,Mies van der Rohe Way & Chestnut St,casual,170
12,Sheffield Ave & Fullerton Ave,casual,169
14,Mies van der Rohe Way & Chestnut St,casual,169
18,Indiana Ave & Roosevelt Rd,casual,169
15,Federal St & Polk St,casual,168
16,Dayton St & North Ave,casual,168
17,Wilton Ave & Belmont Ave,casual,168
12,LaSalle St & Illinois St,casual,168
14,Halsted St & Clybourn Ave,casual,168
12,Theater on the Lake,casual,167
19,Southport Ave & Belmont Ave,casual,167
17,New St & Illinois St,casual,167
11,Millennium Park,casual,166
12,Sheffield Ave & Wrightwood Ave,casual,166
14,Wabash Ave & Wacker Pl,casual,165
12,Clark St & Winnemac Ave,casual,165
21,Clark St & Wrightwood Ave,casual,165
18,Rush St & Superior St,casual,164
17,Ellis Ave & 60th St,casual,164
17,Rush St & Superior St,casual,164
16,Kingsbury St & Kinzie St,casual,164
15,LaSalle St & Illinois St,casual,164
16,Pine Grove Ave & Waveland Ave,casual,163
17,Wells St & Huron St,casual,163
18,Wilton Ave & Belmont Ave,casual,163
13,State St & Chicago Ave,casual,162
16,Damen Ave & Pierce Ave,casual,162
10,Shedd Aquarium,casual,161
16,Kingsbury St & Erie St,casual,161
15,Pine Grove Ave & Waveland Ave,casual,161
19,Pine Grove Ave & Waveland Ave,casual,161
21,Sheffield Ave & Wrightwood Ave,casual,161
17,Kimbark Ave & 53rd St,casual,161
15,Wabash Ave & Wacker Pl,casual,160
14,Federal St & Polk St,casual,160
16,Canal St & Monroe St,casual,160
20,DuSable Lake Shore Dr & Monroe St,casual,160
10,DuSable Lake Shore Dr & Monroe St,casual,160
19,LaSalle St & Illinois St,casual,160
21,Shedd Aquarium,casual,160
18,Wabash Ave & Wacker Pl,casual,159
16,Southport Ave & Belmont Ave,casual,159
11,Sheffield Ave & Waveland Ave,casual,159
14,State St & Chicago Ave,casual,158
11,Michigan Ave & Lake St,casual,158
17,Wood St & Chicago Ave,casual,158
15,Kimbark Ave & 53rd St,casual,158
18,Michigan Ave & Lake St,casual,158
16,Ellis Ave & 60th St,casual,158
20,Sheffield Ave & Waveland Ave,casual,158
20,Ashland Ave & Division St,casual,157
17,Peoria St & Jackson Blvd,casual,157
20,Sheffield Ave & Wrightwood Ave,casual,157
13,Clark St & Winnemac Ave,casual,156
8,Sheffield Ave & Fullerton Ave,casual,156
14,Rush St & Superior St,casual,156
16,Field Museum,casual,155
18,Southport Ave & Wellington Ave,casual,155
16,Clinton St & Madison St,casual,155
13,Broadway & Cornelia Ave,casual,155
13,Federal St & Polk St,casual,155
13,Halsted St & Clybourn Ave,casual,154
12,Clark St & Lincoln Ave,casual,154
7,Streeter Dr & Grand Ave,casual,154
18,Clinton St & Madison St,casual,154
15,Ellis Ave & 60th St,casual,152
12,Halsted St & Clybourn Ave,casual,152
13,Clinton St & Lake St,casual,152
19,Clinton St & Lake St,casual,152
15,Rush St & Superior St,casual,152
15,Clark St & Elm St,casual,151
17,Fairbanks Ct & Grand Ave,casual,151
17,Larrabee St & Webster Ave,casual,151
18,Dayton St & North Ave,casual,151
16,Clark St & Lincoln Ave,casual,150
16,Michigan Ave & 8th St,casual,150
12,Broadway & Cornelia Ave,casual,150
17,Clark St & Newport St,casual,150
17,Wells St & Hubbard St,casual,150
21,Clark St & Schiller St,casual,150
16,Clarendon Ave & Gordon Ter,casual,150
10,Clark St & Wrightwood Ave,casual,149
18,Wells St & Evergreen Ave,casual,149
12,Clinton St & Lake St,casual,149
16,Lakefront Trail & Wilson Ave,casual,149
17,Sheffield Ave & Webster Ave,casual,149
9,DuSable Lake Shore Dr & North Blvd,casual,149
22,Clark St & Schiller St,casual,149
20,Sheffield Ave & Fullerton Ave,casual,148
1,Streeter Dr & Grand Ave,casual,148
12,Clark St & Schiller St,casual,148
13,Clark St & Lincoln Ave,casual,148
14,Clarendon Ave & Gordon Ter,casual,148
17,Southport Ave & Clybourn Ave,casual,148
18,Broadway & Waveland Ave,casual,147
18,Peoria St & Jackson Blvd,casual,147
11,DuSable Lake Shore Dr & Diversey Pkwy,casual,147
18,Southport Ave & Clybourn Ave,casual,146
20,Millennium Park,casual,146
17,Southport Ave & Wellington Ave,casual,146
15,Indiana Ave & Roosevelt Rd,casual,146
21,Ashland Ave & Division St,casual,145
17,Clinton St & Washington Blvd,casual,145
17,Greenview Ave & Fullerton Ave,casual,145
18,Larrabee St & Division St,casual,145
19,Canal St & Madison St,casual,145
13,Mies van der Rohe Way & Chestnut St,casual,145
19,Clarendon Ave & Gordon Ter,casual,145
8,Larrabee St & Kingsbury St,casual,145
19,Wells St & Evergreen Ave,casual,144
22,Wells St & Concord Ln,casual,144
19,California Ave & Milwaukee Ave,casual,144
