end_station_name,member_casual,count_of_users,,,end_station_name,count_of_users
Ashland Ave & Lake St,casual,814,,,,
Clark St & Bryn Mawr Ave,casual,812,,,,
Dearborn Pkwy & Delaware Pl,casual,805,,,,
Damen Ave & Division St,casual,796,,,,
Rush St & Cedar St,casual,794,,,,
Damen Ave & Wellington Ave,casual,793,,,,
Sedgwick St & Schiller St,casual,790,,,,
Jefferson St & Monroe St,casual,780,,,,
Sheridan Rd & Buena Ave,casual,776,,,,
Broadway & Berwyn Ave,casual,769,,,,
Damen Ave & Cortland St,casual,765,,,,
Adler Planetarium,casual,765,,,,
Clarendon Ave & Leland Ave,casual,763,,,,
Clark St & Grace St,casual,761,,,,
Lincoln Ave & Belle Plaine Ave,casual,760,,,,
Clark St & Leland Ave,casual,758,,,,
Aberdeen St & Monroe St,casual,753,,,,
Michigan Ave & 14th St,casual,738,,,,
Sheridan Rd & Montrose Ave,casual,733,,,,
Clark St & Montrose Ave,casual,730,,,,
State St & Pearson St,casual,722,,,,
Sheffield Ave & Kingsbury St,casual,711,,,,
Hermitage Ave & Polk St,casual,710,,,,
Eckhart Park,casual,709,,,,
Calumet Ave & 21st St,casual,707,,,,
Wells St & Institute Pl,casual,703,,,,
Halsted St & Fulton St,casual,696,,,,
Elizabeth St & Fulton St,casual,684,,,,
Clark St & North Ave,casual,682,,,,
California Ave & Cortez St,casual,680,,,,
Damen Ave & Grand Ave,casual,679,,,,
Paulina St & 18th St,casual,672,,,,
Southport Ave & Irving Park Rd,casual,669,,,,
Wentworth Ave & Cermak Rd,casual,667,,,,
Halsted St & Dickens Ave,casual,667,,,,
Halsted St & Roosevelt Rd,casual,665,,,,
Lincoln Ave & Belmont Ave (Temp),casual,662,,,,
Western Ave & Walton St,casual,654,,,,
Clinton St & Roosevelt Rd,casual,652,,,,
Larrabee St & Menomonee St,casual,644,,,,
Loomis St & Jackson Blvd,casual,637,,,,
Western Ave & Winnebago Ave,casual,628,,,,
Racine Ave & Washington Blvd,casual,626,,,,
Milwaukee Ave & Rockwell St,casual,625,,,,
Orleans St & Hubbard St,casual,619,,,,
Broadway & Belmont Ave,casual,617,,,,
Sangamon St & Lake St,casual,616,,,,
Ashland Ave & Blackhawk St,casual,610,,,,
Western Ave & Division St,casual,609,,,,
Ogden Ave & Race Ave,casual,607,,,,
Ravenswood Ave & Lawrence Ave,casual,607,,,,
Sedgwick St & Webster Ave,casual,596,,,,
Wells St & Elm St,casual,594,,,,
Emerald Ave & 31st St,casual,590,,,,
DuSable Lake Shore Dr & Belmont Ave,casual,589,,,,
Orleans St & Chestnut St (NEXT Apts),casual,584,,,,
California Ave & Montrose Ave,casual,577,,,,
St. Clair St & Erie St,casual,574,,,,
Central Park Ave & Bloomingdale Ave,casual,574,,,,
Wilton Ave & Diversey Pkwy,casual,574,,,,
State St & Van Buren St,casual,571,,,,
Clark St & Randolph St,casual,570,,,,
Desplaines St & Jackson Blvd,casual,568,,,,
900 W Harrison St,casual,566,,,,
Aberdeen St & Jackson Blvd,casual,563,,,,
Logan Blvd & Elston Ave,casual,561,,,,
State St & 35th St,casual,560,,,,
State St & Randolph St,casual,547,,,,
Rhodes Ave & 32nd St,casual,546,,,,
Blackstone Ave & Hyde Park Blvd,casual,543,,,,
Leavitt St & Chicago Ave,casual,543,,,,
LaSalle St & Adams St,casual,532,,,,
Ogden Ave & Chicago Ave,casual,530,,,,
Sheridan Rd & Irving Park Rd,casual,529,,,,
Woodlawn Ave & 55th St,casual,526,,,,
Western Ave & Leland Ave,casual,517,,,,
Cornell Ave & Hyde Park Blvd,casual,515,,,,
Greenview Ave & Jarvis Ave,casual,512,,,,
State St & 33rd St,casual,510,,,,
Halsted St & Polk St,casual,509,,,,
Broadway & Ridge Ave,casual,498,,,,
Wood St & Hubbard St,casual,495,,,,
Western Ave & Roscoe St,casual,494,,,,
Michigan Ave & Ida B Wells Dr,casual,494,,,,
Campbell Ave & Fullerton Ave,casual,493,,,,
Clinton St & Tilden St,casual,487,,,,
Elston Ave & Cortland St,casual,481,,,,
Halsted St & Roscoe St,casual,480,,,,
Stetson Ave & South Water St,casual,477,,,,
Paulina Ave & North Ave,casual,475,,,,
Daley Center Plaza,casual,475,,,,
Clark St & Drummond Pl,casual,474,,,,
Ashland Ave & Wellington Ave,casual,473,,,,
Cityfront Plaza Dr & Pioneer Ct,casual,473,,,,
Ada St & Washington Blvd,casual,468,,,,
Morgan Ave & 14th Pl,casual,466,,,,
Michigan Ave & Madison St,casual,460,,,,
Canal St & Jackson Blvd,casual,459,,,,
Shields Ave & 28th Pl,casual,459,,,,
Sedgwick St & North Ave,casual,455,,,,
Sheridan Rd & Loyola Ave,casual,450,,,,
LaSalle St & Jackson Blvd,casual,447,,,,
Campbell Ave & Montrose Ave,casual,447,,,,
Southport Ave & Waveland Ave,casual,446,,,,
Green St & Washington Blvd,casual,446,,,,
Halsted St & Wrightwood Ave,casual,445,,,,
Leavitt St & Belmont Ave,casual,443,,,,
Clarendon Ave & Junior Ter,casual,439,,,,
Dearborn St & Monroe St,casual,435,,,,
Desplaines St & Randolph St,casual,430,,,,
Southport Ave & Roscoe St,casual,422,,,,
Chicago Ave & Sheridan Rd,casual,420,,,,
Clinton St & 18th St,casual,420,,,,
Kedzie Ave & Milwaukee Ave,casual,415,,,,
Rush St & Hubbard St,casual,415,,,,
Troy St & North Ave,casual,411,,,,
Pine Grove Ave & Irving Park Rd,casual,408,,,,
Clark St & Armitage Ave,casual,407,,,,
Franklin St & Chicago Ave,casual,407,,,,
Burling St & Diversey Pkwy,casual,405,,,,
Ellis Ave & 58th St,casual,403,,,,
Ashland Ave & 13th St,casual,401,,,,
Damen Ave & Sunnyside Ave,casual,388,,,,
Wells St & Walton St,casual,386,,,,
Humboldt Blvd & Armitage Ave,casual,386,,,,
Racine Ave & 18th St,casual,384,,,,
Clifton Ave & Armitage Ave,casual,378,,,,
Halsted St & 21st St,casual,377,,,,
Sheridan Rd & Argyle St,casual,377,,,,
Lakeview Ave & Fullerton Pkwy,casual,375,,,,
Wabash Ave & Adams St,casual,373,,,,
Racine Ave & Randolph St,casual,372,,,,
Clark St & Elmdale Ave,casual,371,,,,
Greenview Ave & Diversey Pkwy,casual,370,,,,
Franklin St & Monroe St,casual,368,,,,
Broadway & Wilson Ave,casual,366,,,,
Sedgwick St & Huron St,casual,366,,,,
Leavitt St & Lawrence Ave,casual,365,,,,
Halsted St & Maxwell St,casual,363,,,,
Clark St & 9th St (AMLI),casual,362,,,,
Oakley Ave & Irving Park Rd,casual,361,,,,
Loomis St & Lexington St,casual,358,,,,
Campbell Ave & North Ave,casual,358,,,,
Chicago Ave & Washington St,casual,357,,,,
Dearborn St & Van Buren St,casual,352,,,,
Hampden Ct & Diversey Ave,casual,352,,,,
McCormick Place,casual,346,,,,
Ravenswood Ave & Berteau Ave,casual,342,,,,
Damen Ave & Charleston St,casual,342,,,,
Emerald Ave & 28th St,casual,341,,,,
Larrabee St & North Ave,casual,335,,,,
Ogden Ave & Roosevelt Rd,casual,334,,,,
Clark St & Berwyn Ave,casual,332,,,,
Damen Ave & Foster Ave,casual,331,,,,
Indiana Ave & 31st St,casual,329,,,,
Wacker Dr & Washington St,casual,327,,,,
Calumet Ave & 18th St,casual,322,,,,
Dearborn St & Adams St,casual,319,,,,
Wentworth Ave & 33rd St,casual,318,,,,
Western Ave & Congress Pkwy,casual,316,,,,
Michigan Ave & Jackson Blvd,casual,311,,,,
Rockwell St & Eastwood Ave,casual,311,,,,
Wood St & Taylor St (Temp),casual,308,,,,
Fort Dearborn Dr & 31st St,casual,306,,,,
Laflin St & Cullerton St,casual,303,,,,
Southport Ave & Clark St,casual,301,,,,
Ellis Ave & 53rd St,casual,288,,,,
