start_station_name,member_casual,count_of_users,,,start_station_name,count_of_users
Sheffield Ave & Kingsbury St,casual,901,,,,
Canal St & Monroe St,casual,898,,,,
Rush St & Cedar St,casual,896,,,,
Franklin St & Illinois St,casual,895,,,,
Sheridan Rd & Noyes St (NU),casual,892,,,,
Pine Grove Ave & Irving Park Rd,casual,892,,,,
Ritchie Ct & Banks St,casual,887,,,,
Peoria St & Jackson Blvd,casual,877,,,,
Clark St & Chicago Ave,casual,876,,,,
Sedgwick St & North Ave,casual,869,,,,
Southport Ave & Wrightwood Ave,casual,864,,,,
Franklin St & Monroe St,casual,857,,,,
Desplaines St & Randolph St,casual,845,,,,
Southport Ave & Belmont Ave,casual,842,,,,
Clarendon Ave & Junior Ter,casual,839,,,,
Ogden Ave & Chicago Ave,casual,835,,,,
McClurg Ct & Erie St,casual,815,,,,
Sheridan Rd & Buena Ave,casual,813,,,,
Michigan Ave & Madison St,casual,795,,,,
Dayton St & North Ave,casual,787,,,,
Elston Ave & Cortland St,casual,776,,,,
Aberdeen St & Jackson Blvd,casual,775,,,,
Sangamon St & Lake St,casual,773,,,,
Damen Ave & Chicago Ave,casual,772,,,,
Calumet Ave & 18th St,casual,772,,,,
Sedgwick St & Huron St,casual,758,,,,
Halsted St & Willow St,casual,757,,,,
Halsted St & Fulton St,casual,756,,,,
California Ave & Cortez St,casual,752,,,,
900 W Harrison St,casual,751,,,,
Broadway & Wilson Ave,casual,744,,,,
Aberdeen St & Randolph St,casual,743,,,,
Wells St & Polk St,casual,740,,,,
Burling St & Diversey Pkwy,casual,731,,,,
Michigan Ave & 14th St,casual,729,,,,
Larrabee St & Division St,casual,726,,,,
McCormick Place,casual,720,,,,
Woodlawn Ave & 55th St,casual,714,,,,
Racine Ave & Wrightwood Ave,casual,712,,,,
State St & Van Buren St,casual,708,,,,
Burnham Harbor,casual,703,,,,
Rush St & Hubbard St,casual,701,,,,
Halsted St & Polk St,casual,698,,,,
Michigan Ave & Ida B Wells Dr,casual,697,,,,
Carpenter St & Huron St,casual,697,,,,
Marine Dr & Ainslie St,casual,695,,,,
Benson Ave & Church St,casual,687,,,,
State St & Harrison St,casual,685,,,,
Bissell St & Armitage Ave*,casual,675,,,,
Clifton Ave & Armitage Ave,casual,674,,,,
Wells St & Walton St,casual,669,,,,
Western Ave & Leland Ave,casual,659,,,,
Shore Dr & 55th St,casual,649,,,,
May St & Taylor St,casual,648,,,,
Clark St & Montrose Ave,casual,647,,,,
Larrabee St & Armitage Ave,casual,645,,,,
Broadway & Argyle St,casual,643,,,,
Desplaines St & Jackson Blvd,casual,641,,,,
Michigan Ave & Pearson St,casual,639,,,,
Ogden Ave & Race Ave,casual,638,,,,
Stetson Ave & South Water St,casual,634,,,,
Southport Ave & Irving Park Rd,casual,631,,,,
Dearborn St & Adams St,casual,625,,,,
Damen Ave & Thomas St (Augusta Blvd),casual,624,,,,
Clark St & Bryn Mawr Ave,casual,624,,,,
Sheffield Ave & Willow St,casual,619,,,,
Paulina Ave & North Ave,casual,617,,,,
Seeley Ave & Roscoe St,casual,612,,,,
Wacker Dr & Washington St,casual,611,,,,
Loomis St & Lexington St,casual,609,,,,
Wentworth Ave & Cermak Rd,casual,605,,,,
Lake Park Ave & 56th St,casual,605,,,,
Halsted St & Maxwell St,casual,604,,,,
Morgan St & Polk St,casual,604,,,,
Fort Dearborn Dr & 31st St,casual,603,,,,
Wabash Ave & Adams St,casual,600,,,,
Ashland Ave & Wellington Ave,casual,599,,,,
