hour,start_station_name,member_casual,count_of_users
17,DuSable Lake Shore Dr & Belmont Ave,casual,172
17,Montrose Harbor,casual,172
10,DuSable Lake Shore Dr & Monroe St,casual,172
17,Adler Planetarium,casual,172
18,Lincoln Ave & Fullerton Ave,casual,171
13,DuSable Lake Shore Dr & Diversey Pkwy,casual,171
16,DuSable Lake Shore Dr & Diversey Pkwy,casual,171
19,Clark St & Elm St,casual,170
16,Canal St & Jackson Blvd,casual,169
16,Franklin St & Monroe St,casual,169
19,Clark St & Newport St,casual,168
17,Wabash Ave & Grand Ave,casual,167
12,DuSable Lake Shore Dr & Diversey Pkwy,casual,167
14,Clark St & Armitage Ave,casual,167
15,Field Museum,casual,166
10,Streeter Dr & Grand Ave,casual,166
19,Michigan Ave & Oak St,casual,165
16,Wilton Ave & Belmont Ave,casual,164
18,State St & Chicago Ave,casual,164
15,Clark St & Newport St,casual,164
17,Lincoln Ave & Fullerton Ave,casual,164
18,Clark St & Lincoln Ave,casual,164
18,Clinton St & Washington Blvd,casual,163
18,Sheffield Ave & Wellington Ave,casual,162
17,Sheffield Ave & Wellington Ave,casual,162
15,Clark St & Elm St,casual,162
14,Michigan Ave & Washington St,casual,162
16,Damen Ave & Pierce Ave,casual,161
17,Orleans St & Merchandise Mart Plaza,casual,161
16,Clark St & Lincoln Ave,casual,161
16,Sheffield Ave & Waveland Ave,casual,161
13,Indiana Ave & Roosevelt Rd,casual,160
18,Kingsbury St & Kinzie St,casual,160
14,DuSable Lake Shore Dr & Diversey Pkwy,casual,160
16,Sheffield Ave & Fullerton Ave,casual,160
17,Desplaines St & Kinzie St,casual,159
16,Wells St & Elm St,casual,158
13,Michigan Ave & Washington St,casual,158
16,Daley Center Plaza,casual,158
16,Clark St & Elm St,casual,158
18,Sheffield Ave & Waveland Ave,casual,157
15,Indiana Ave & Roosevelt Rd,casual,157
11,Michigan Ave & Lake St,casual,156
17,Southport Ave & Waveland Ave,casual,156
19,Broadway & Barry Ave,casual,156
14,Michigan Ave & Lake St,casual,156
17,Fairbanks Ct & Grand Ave,casual,155
14,Indiana Ave & Roosevelt Rd,casual,155
16,Franklin St & Jackson Blvd,casual,154
