seasons,start_station_name,member_casual,count_of_users
2023SummerRide,Halsted St & Wrightwood Ave,casual,585
2023SummerRide,Ellis Ave & 55th St,casual,580
2023SpringRide,Clinton St & Madison St,casual,577
2023FallRide,Shedd Aquarium,casual,576
2023FallRide,Montrose Harbor,casual,576
2023SpringRide,Orleans St & Merchandise Mart Plaza,casual,573
2023SummerRide,Mies van der Rohe Way & Chestnut St,casual,573
2023SpringRide,Michigan Ave & Oak St,casual,569
2023SummerRide,Canal St & Adams St,casual,569
2023SpringRide,Field Museum,casual,563
2023SummerRide,Clinton St & Lake St,casual,562
2023SummerRide,Clark St & North Ave,casual,560
2023SummerRide,Stockton Dr & Wrightwood Ave,casual,557
2023SummerRide,Wabash Ave & 9th St,casual,556
2023SummerRide,Orleans St & Merchandise Mart Plaza,casual,554
2023SummerRide,Clark St & Drummond Pl,casual,553
2023SpringRide,Daley Center Plaza,casual,552
2023SpringRide,Indiana Ave & Roosevelt Rd,casual,544
2023SummerRide,Clinton St & Madison St,casual,544
2023SummerRide,Kimbark Ave & 53rd St,casual,542
2023SpringRide,Broadway & Waveland Ave,casual,541
2023SummerRide,Sedgwick St & Webster Ave,casual,541
2023SpringRide,Wabash Ave & Grand Ave,casual,540
2023SpringRide,Canal St & Madison St,casual,540
2023SummerRide,St. Clair St & Erie St,casual,539
2023SummerRide,Clark St & Schiller St,casual,534
2023SummerRide,Clinton St & Jackson Blvd,casual,531
2023SpringRide,Franklin St & Jackson Blvd,casual,528
2023SpringRide,Wells St & Evergreen Ave,casual,522
2023SummerRide,Milwaukee Ave & Grand Ave,casual,516
2023FallRide,Millennium Park,casual,513
2023SummerRide,Canal St & Madison St,casual,509
2023SummerRide,Lincoln Ave & Diversey Pkwy,casual,508
2023SpringRide,Clark St & Wrightwood Ave,casual,506
2023SummerRide,Franklin St & Chicago Ave,casual,505
2023SpringRide,Halsted St & Roscoe St,casual,504
2023SummerRide,Desplaines St & Randolph St,casual,504
2023SummerRide,Kedzie Ave & Milwaukee Ave,casual,503
2023SpringRide,Green St & Madison St,casual,502
2023SummerRide,Greenview Ave & Fullerton Ave,casual,500
2023SummerRide,Cityfront Plaza Dr & Pioneer Ct,casual,499
2023SummerRide,Clark St & Berwyn Ave,casual,498
2023FallRide,DuSable Lake Shore Dr & Belmont Ave,casual,498
2023SummerRide,Rush St & Cedar St,casual,493
2023SummerRide,Sheridan Rd & Noyes St (NU),casual,490
2023SpringRide,Broadway & Cornelia Ave,casual,486
2023SummerRide,Western Ave & Winnebago Ave,casual,486
2023SummerRide,Mies van der Rohe Way & Chicago Ave,casual,485
2023SummerRide,Broadway & Belmont Ave,casual,484
2023SpringRide,Wabash Ave & Roosevelt Rd,casual,482
2023FallRide,Lakeview Ave & Fullerton Pkwy,casual,481
2023FallRide,Indiana Ave & Roosevelt Rd,casual,478
2023SummerRide,Honore St & Division St,casual,477
2023SpringRide,Dearborn St & Monroe St,casual,474
2023SpringRide,Dearborn St & Erie St,casual,472
2023SpringRide,Columbus Dr & Randolph St,casual,471
2023SummerRide,LaSalle Dr & Huron St,casual,471
2023SpringRide,Larrabee St & Kingsbury St,casual,470
2023FallRide,Clark St & Armitage Ave,casual,463
2023SummerRide,Southport Ave & Roscoe St,casual,462
2023SummerRide,Sheridan Rd & Buena Ave,casual,460
2023SummerRide,Halsted St & Fulton St,casual,459
2023SummerRide,Milwaukee Ave & Wabansia Ave,casual,457
2023SpringRide,Clark St & Armitage Ave,casual,455
2023SummerRide,Burnham Harbor,casual,455
2023SpringRide,Larrabee St & Webster Ave,casual,453
2023SpringRide,New St & Illinois St,casual,451
2023SpringRide,LaSalle St & Jackson Blvd,casual,451
2023SpringRide,Clinton St & Lake St,casual,450
2023SpringRide,Milwaukee Ave & Grand Ave,casual,450
2023SpringRide,State St & Randolph St,casual,449
2023FallRide,Clark St & Elm St,casual,448
2023SpringRide,Pine Grove Ave & Waveland Ave,casual,444
2023SummerRide,Michigan Ave & Jackson Blvd,casual,444
2023SpringRide,Wabash Ave & 9th St,casual,443
2023SpringRide,Michigan Ave & 8th St,casual,443
2023SummerRide,Lakefront Trail & Wilson Ave,casual,443
2023SummerRide,Fort Dearborn Dr & 31st St,casual,441
2023SpringRide,Canal St & Monroe St,casual,440
2023SummerRide,Ritchie Ct & Banks St,casual,439
2023SpringRide,Dusable Harbor,casual,438
2023SpringRide,Franklin St & Lake St,casual,438
2023SummerRide,Damen Ave & Cortland St,casual,437
2023SummerRide,State St & Randolph St,casual,436
2023SummerRide,Clark St & Lake St,casual,433
2023SpringRide,Clark St & Winnemac Ave,casual,432
2023FallRide,Wilton Ave & Belmont Ave,casual,432
2023SummerRide,Sheffield Ave & Kingsbury St,casual,431
2023SummerRide,Clark St & Randolph St,casual,431
2023SpringRide,Southport Ave & Waveland Ave,casual,430
2023SummerRide,Calumet Ave & 18th St,casual,430
2023SummerRide,Canal St & Jackson Blvd,casual,429
2023SpringRide,St. Clair St & Erie St,casual,428
2023FallRide,DuSable Lake Shore Dr & Wellington Ave,casual,428
2023SummerRide,Clark St & Chicago Ave,casual,426
2023SpringRide,Fairbanks Ct & Grand Ave,casual,424
2023SummerRide,McClurg Ct & Erie St,casual,424
2023SummerRide,Wells St & Hubbard St,casual,423
2023SpringRide,Kingsbury St & Erie St,casual,422
2023SpringRide,Canal St & Jackson Blvd,casual,421
2023SpringRide,Kimbark Ave & 53rd St,casual,421
2023SpringRide,Franklin St & Chicago Ave,casual,421
2023SpringRide,Halsted St & Polk St,casual,420
2023SummerRide,Franklin St & Lake St,casual,420
2023SpringRide,Racine Ave & Belmont Ave,casual,419
2023SpringRide,Wilton Ave & Diversey Pkwy,casual,418
2023SummerRide,State St & Kinzie St,casual,418
2023SpringRide,Desplaines St & Kinzie St,casual,417
2023FallRide,Clark St & Schiller St,casual,417
