month,start_station_name,member_casual,count_of_users
5,Ellis Ave & 60th St,casual,316
6,Clark St & Winnemac Ave,casual,316
6,Wells St & Concord Ln,casual,316
5,Wells St & Elm St,casual,314
6,DuSable Lake Shore Dr & Monroe St,casual,314
7,Sheffield Ave & Waveland Ave,casual,311
7,Michigan Ave & Lake St,casual,311
5,Sheffield Ave & Webster Ave,casual,308
6,Wilton Ave & Diversey Pkwy,casual,308
3,Sheffield Ave & Fullerton Ave,casual,307
6,Damen Ave & Pierce Ave,casual,306
5,Wells St & Huron St,casual,305
7,Clark St & Winnemac Ave,casual,305
7,Stockton Dr & Wrightwood Ave,casual,305
4,Desplaines St & Kinzie St,casual,304
1,University Ave & 57th St,casual,303
5,Kingsbury St & Kinzie St,casual,303
5,Lincoln Park Conservatory,casual,303
4,Dearborn St & Erie St,casual,302
3,Broadway & Barry Ave,casual,301
3,Ellis Ave & 60th St,casual,301
6,Wabash Ave & Wacker Pl,casual,301
2,University Ave & 57th St,casual,300
3,Clark St & Newport St,casual,299
6,Clark St & Drummond Pl,casual,299
7,Halsted St & Wrightwood Ave,casual,299
5,Wells St & Evergreen Ave,casual,298
3,Clinton St & Jackson Blvd,casual,297
4,Pine Grove Ave & Waveland Ave,casual,297
5,Broadway & Waveland Ave,casual,297
5,Sheffield Ave & Fullerton Ave,casual,297
5,Wabash Ave & Wacker Pl,casual,296
7,Wabash Ave & Roosevelt Rd,casual,295
4,Wabash Ave & 9th St,casual,294
5,Damen Ave & Pierce Ave,casual,294
3,Michigan Ave & Lake St,casual,293
3,Michigan Ave & Washington St,casual,293
6,Clark St & Grace St,casual,293
3,Wells St & Hubbard St,casual,292
3,Clinton St & Madison St,casual,292
4,Wabash Ave & Grand Ave,casual,291
5,Clark St & Elm St,casual,291
7,Clark St & Grace St,casual,291
3,Wilton Ave & Belmont Ave,casual,290
6,Wood St & Milwaukee Ave,casual,290
7,Sheffield Ave & Fullerton Ave,casual,290
5,Wabash Ave & Roosevelt Rd,casual,289
7,Pine Grove Ave & Waveland Ave,casual,288
7,Wells St & Evergreen Ave,casual,288
1,Ellis Ave & 60th St,casual,287
7,Kingsbury St & Kinzie St,casual,285
4,Federal St & Polk St,casual,284
5,New St & Illinois St,casual,284
6,Halsted St & Dickens Ave,casual,284
7,Broadway & Belmont Ave,casual,284
7,Sheffield Ave & Wellington Ave,casual,284
3,Clark St & Elm St,casual,283
6,Lakefront Trail & Bryn Mawr Ave,casual,282
7,LaSalle St & Illinois St,casual,282
7,Clark St & Drummond Pl,casual,280
7,Lincoln Park Conservatory,casual,279
4,Clark St & Newport St,casual,278
5,Dearborn Pkwy & Delaware Pl,casual,277
6,Dearborn St & Erie St,casual,277
6,Clark St & Schiller St,casual,277
4,Racine Ave & Belmont Ave,casual,276
7,Sheridan Rd & Irving Park Rd,casual,275
6,University Ave & 57th St,casual,274
1,Streeter Dr & Grand Ave,casual,273
7,Sheffield Ave & Webster Ave,casual,273
7,Kedzie Ave & Milwaukee Ave,casual,273
5,Broadway & Barry Ave,casual,272
7,Wells St & Huron St,casual,272
7,State St & Chicago Ave,casual,272
4,Wells St & Concord Ln,casual,271
2,Streeter Dr & Grand Ave,casual,270
3,Wabash Ave & Grand Ave,casual,270
4,Sheridan Rd & Noyes St (NU),casual,270
6,Canal St & Madison St,casual,270
3,Canal St & Adams St,casual,269
3,Damen Ave & Pierce Ave,casual,269
5,Southport Ave & Waveland Ave,casual,269
7,St. Clair St & Erie St,casual,269
7,Marine Dr & Ainslie St,casual,269
7,Pine Grove Ave & Irving Park Rd,casual,269
3,Orleans St & Merchandise Mart Plaza,casual,268
6,Wabash Ave & Roosevelt Rd,casual,268
7,Southport Ave & Belmont Ave,casual,267
5,Dusable Harbor,casual,266
5,Canal St & Adams St,casual,266
7,Halsted St & Clybourn Ave,casual,266
3,Michigan Ave & Oak St,casual,265
6,Sheffield Ave & Webster Ave,casual,265
3,Dusable Harbor,casual,264
5,Pine Grove Ave & Waveland Ave,casual,264
7,Clarendon Ave & Gordon Ter,casual,264
7,Ravenswood Ave & Lawrence Ave,casual,264
2,Broadway & Barry Ave,casual,263
6,Halsted St & Wrightwood Ave,casual,263
6,St. Clair St & Erie St,casual,263
3,Daley Center Plaza,casual,262
7,Ritchie Ct & Banks St,casual,262
5,Clark St & Grace St,casual,261
6,Clinton St & Washington Blvd,casual,260
7,Wells St & Hubbard St,casual,258
7,Halsted St & Dickens Ave,casual,258
7,Cityfront Plaza Dr & Pioneer Ct,casual,258
6,Greenview Ave & Fullerton Ave,casual,257
6,Wells St & Huron St,casual,257
6,California Ave & Milwaukee Ave,casual,257
7,California Ave & Milwaukee Ave,casual,256
5,Larrabee St & Webster Ave,casual,254
6,Rush St & Superior St,casual,254
5,Clinton St & Madison St,casual,253
3,State St & Chicago Ave,casual,252
6,Broadway & Sheridan Rd,casual,252
4,Michigan Ave & Washington St,casual,250
4,Halsted St & Dickens Ave,casual,250
3,Desplaines St & Kinzie St,casual,249
7,Michigan Ave & 8th St,casual,249
1,Clark St & Elm St,casual,248
3,Michigan Ave & 8th St,casual,248
6,Sheffield Ave & Wellington Ave,casual,248
7,Canal St & Adams St,casual,248
5,Sheffield Ave & Wrightwood Ave,casual,247
5,Lincoln Ave & Fullerton Ave,casual,247
3,Halsted St & Roscoe St,casual,246
7,Daley Center Plaza,casual,246
2,Ellis Ave & 60th St,casual,245
3,Ellis Ave & 55th St,casual,245
5,Ellis Ave & 55th St,casual,245
4,Green St & Madison St,casual,244
6,Racine Ave & Belmont Ave,casual,244
6,Clark St & Berwyn Ave,casual,244
7,Michigan Ave & 14th St,casual,244
3,Adler Planetarium,casual,243
5,Halsted St & Clybourn Ave,casual,243
4,Montrose Harbor,casual,242
6,Honore St & Division St,casual,242
7,Clarendon Ave & Junior Ter,casual,241
2,Kingsbury St & Kinzie St,casual,239
6,Columbus Dr & Randolph St,casual,239
3,Canal St & Madison St,casual,238
4,Racine Ave & Fullerton Ave,casual,238
6,Racine Ave & Fullerton Ave,casual,238
3,Clark St & Armitage Ave,casual,237
6,Wells St & Evergreen Ave,casual,237
7,Clark St & Berwyn Ave,casual,236
7,State St & Kinzie St,casual,236
1,Sheffield Ave & Fullerton Ave,casual,235
3,New St & Illinois St,casual,235
6,Sheridan Rd & Buena Ave,casual,235
7,Halsted St & Fulton St,casual,235
5,Stockton Dr & Wrightwood Ave,casual,234
7,Southport Ave & Wrightwood Ave,casual,234
7,Clark St & North Ave,casual,234
3,Franklin St & Jackson Blvd,casual,233
3,Milwaukee Ave & Grand Ave,casual,233
6,Kedzie Ave & Milwaukee Ave,casual,233
6,Milwaukee Ave & Grand Ave,casual,233
7,State St & Randolph St,casual,233
1,Wells St & Concord Ln,casual,232
3,Wells St & Evergreen Ave,casual,232
5,Halsted St & Roscoe St,casual,232
5,Shedd Aquarium,casual,231
3,State St & Randolph St,casual,230
4,Larrabee St & Kingsbury St,casual,230
4,Franklin St & Jackson Blvd,casual,230
4,Stockton Dr & Wrightwood Ave,casual,230
5,Michigan Ave & 8th St,casual,230
5,Clark St & Winnemac Ave,casual,230
3,Broadway & Waveland Ave,casual,229
5,Montrose Harbor,casual,229
6,Southport Ave & Wellington Ave,casual,229
6,Canal St & Adams St,casual,229
7,Racine Ave & Belmont Ave,casual,229
3,Canal St & Jackson Blvd,casual,228
4,Sheffield Ave & Wrightwood Ave,casual,228
4,Clark St & Wellington Ave,casual,228
4,Orleans St & Merchandise Mart Plaza,casual,228
5,Clark St & Newport St,casual,228
5,LaSalle St & Illinois St,casual,228
4,Ellis Ave & 55th St,casual,227
5,Clark St & North Ave,casual,227
5,McClurg Ct & Ohio St,casual,226
5,Kimbark Ave & 53rd St,casual,226
7,Wabash Ave & Wacker Pl,casual,226
3,Ashland Ave & Division St,casual,225
5,Dearborn St & Erie St,casual,225
5,Clinton St & Lake St,casual,225
6,Larrabee St & Kingsbury St,casual,225
4,Michigan Ave & Oak St,casual,224
5,Wilton Ave & Diversey Pkwy,casual,224
7,Desplaines St & Kinzie St,casual,224
3,Green St & Madison St,casual,223
6,Broadway & Belmont Ave,casual,223
7,Sedgwick St & North Ave,casual,223
7,Clinton St & Jackson Blvd,casual,223
7,Mies van der Rohe Way & Chestnut St,casual,223
5,Broadway & Sheridan Rd,casual,222
5,California Ave & Milwaukee Ave,casual,222
6,Michigan Ave & 8th St,casual,222
6,LaSalle St & Illinois St,casual,222
1,Ellis Ave & 55th St,casual,221
3,Larrabee St & Kingsbury St,casual,221
6,Larrabee St & Webster Ave,casual,221
7,State St & Harrison St,casual,221
3,Columbus Dr & Randolph St,casual,220
6,Wells St & Elm St,casual,220
2,Wilton Ave & Belmont Ave,casual,219
2,LaSalle St & Illinois St,casual,219
3,Clark St & Wrightwood Ave,casual,219
3,Canal St & Monroe St,casual,219
7,Racine Ave & Fullerton Ave,casual,219
7,Wood St & Milwaukee Ave,casual,219
7,Burling St & Diversey Pkwy,casual,219
3,Clinton St & Lake St,casual,218
6,Lakeview Ave & Fullerton Pkwy,casual,218
7,Dearborn St & Monroe St,casual,218
3,Dearborn St & Erie St,casual,217
4,Rush St & Cedar St,casual,217
6,State St & Randolph St,casual,217
6,Fairbanks Ct & Grand Ave,casual,217
7,Franklin St & Jackson Blvd,casual,217
2,Ashland Ave & Division St,casual,216
6,Michigan Ave & Jackson Blvd,casual,216
6,Franklin St & Jackson Blvd,casual,216
2,Clark St & Elm St,casual,215
4,Fairbanks Ct & Grand Ave,casual,215
5,Adler Planetarium,casual,215
2,Michigan Ave & Oak St,casual,214
6,Lincoln Ave & Diversey Pkwy,casual,214
6,Dearborn St & Monroe St,casual,214
1,State St & Chicago Ave,casual,212
2,Clark St & Newport St,casual,212
5,Field Museum,casual,212
5,Halsted St & Dickens Ave,casual,212
7,Orleans St & Merchandise Mart Plaza,casual,212
1,LaSalle St & Illinois St,casual,211
4,Millennium Park,casual,210
6,Franklin St & Monroe St,casual,210
7,Mies van der Rohe Way & Chicago Ave,casual,210
7,Sedgwick St & Webster Ave,casual,210
3,Dearborn St & Monroe St,casual,209
4,Sheffield Ave & Waveland Ave,casual,209
6,Milwaukee Ave & Wabansia Ave,casual,209
2,Ellis Ave & 55th St,casual,208
3,Halsted St & Clybourn Ave,casual,208
3,Wilton Ave & Diversey Pkwy,casual,208
4,Broadway & Sheridan Rd,casual,208
7,Broadway & Sheridan Rd,casual,208
7,Clinton St & Washington Blvd,casual,208
3,LaSalle St & Jackson Blvd,casual,207
3,DuSable Lake Shore Dr & North Blvd,casual,207
3,Franklin St & Chicago Ave,casual,207
5,St. Clair St & Erie St,casual,207
5,LaSalle Dr & Huron St,casual,207
5,Dearborn St & Monroe St,casual,207
3,Ravenswood Ave & Lawrence Ave,casual,206
4,Bissell St & Armitage Ave*,casual,206
6,Damen Ave & Cortland St,casual,206
1,Clinton St & Washington Blvd,casual,205
4,Clark St & Grace St,casual,205
6,Ellis Ave & 60th St,casual,205
7,Clark St & Wellington Ave,casual,205
2,Michigan Ave & Washington St,casual,204
3,California Ave & Milwaukee Ave,casual,204
4,Rush St & Superior St,casual,204
5,Clinton St & Washington Blvd,casual,204
5,Green St & Madison St,casual,204
6,Southport Ave & Wrightwood Ave,casual,204
3,Lincoln Ave & Fullerton Ave,casual,203
4,Southport Ave & Wellington Ave,casual,203
5,Lincoln Ave & Diversey Pkwy,casual,203
7,Honore St & Division St,casual,203
7,Damen Ave & Cortland St,casual,203
3,Wabash Ave & Roosevelt Rd,casual,202
4,Cityfront Plaza Dr & Pioneer Ct,casual,202
4,Ashland Ave & Division St,casual,202
6,Halsted St & Clybourn Ave,casual,202
6,Sedgwick St & Webster Ave,casual,202
7,Michigan Ave & Jackson Blvd,casual,202
3,Kingsbury St & Erie St,casual,201
6,Ritchie Ct & Banks St,casual,201
1,Shedd Aquarium,casual,200
3,St. Clair St & Erie St,casual,200
3,Wabash Ave & 9th St,casual,199
4,Halsted St & Fulton St,casual,199
6,Dearborn Pkwy & Delaware Pl,casual,199
6,Southport Ave & Belmont Ave,casual,199
6,Kimbark Ave & 53rd St,casual,199
7,Rush St & Cedar St,casual,199
1,Broadway & Barry Ave,casual,198
3,900 W Harrison St,casual,198
5,Desplaines St & Randolph St,casual,198
1,Kingsbury St & Kinzie St,casual,197
3,Franklin St & Lake St,casual,197
6,Clark St & North Ave,casual,197
2,State St & Chicago Ave,casual,196
3,Broadway & Cornelia Ave,casual,196
4,Clinton St & Jackson Blvd,casual,196
5,Ritchie Ct & Banks St,casual,196
6,Fort Dearborn Dr & 31st St,casual,196
6,Broadway & Argyle St,casual,195
4,Lakeview Ave & Fullerton Pkwy,casual,194
5,Mies van der Rohe Way & Chestnut St,casual,194
5,Field Blvd & South Water St,casual,194
2,Clinton St & Washington Blvd,casual,193
3,Sheffield Ave & Waveland Ave,casual,193
3,Clark St & Randolph St,casual,193
4,State St & Chicago Ave,casual,193
5,Clark St & Berwyn Ave,casual,193
5,Racine Ave & Belmont Ave,casual,193
6,Franklin St & Chicago Ave,casual,193
6,Clarendon Ave & Gordon Ter,casual,193
3,Milwaukee Ave & Wabansia Ave,casual,192
5,Lakeview Ave & Fullerton Pkwy,casual,192
2,Damen Ave & Pierce Ave,casual,191
6,Bissell St & Armitage Ave*,casual,191
6,Green St & Madison St,casual,191
7,Columbus Dr & Randolph St,casual,191
2,Theater on the Lake,casual,190
3,Southport Ave & Waveland Ave,casual,190
5,Broadway & Belmont Ave,casual,190
5,Orleans St & Merchandise Mart Plaza,casual,190
5,Wells St & Hubbard St,casual,190
7,Calumet Ave & 18th St,casual,190
3,Sheffield Ave & Wellington Ave,casual,189
5,Franklin St & Lake St,casual,189
5,Clinton St & Jackson Blvd,casual,189
5,Sheridan Rd & Irving Park Rd,casual,189
5,Wood St & Milwaukee Ave,casual,189
6,Southport Ave & Roscoe St,casual,189
7,Cannon Dr & Fullerton Ave,casual,189
7,Wabash Ave & 9th St,casual,189
7,Greenview Ave & Fullerton Ave,casual,189
2,Michigan Ave & Lake St,casual,188
4,Mies van der Rohe Way & Chicago Ave,casual,188
5,Halsted St & Wrightwood Ave,casual,188
6,Federal St & Polk St,casual,188
3,Halsted St & Wrightwood Ave,casual,187
4,Clark St & Winnemac Ave,casual,187
4,Sheffield Ave & Kingsbury St,casual,187
3,Clark St & Winnemac Ave,casual,186
3,Larrabee St & Webster Ave,casual,186
3,Dearborn Pkwy & Delaware Pl,casual,186
4,Western Ave & Winnebago Ave,casual,186
5,Milwaukee Ave & Grand Ave,casual,186
5,Sedgwick St & Webster Ave,casual,186
7,Larrabee St & Kingsbury St,casual,186
